time_ms,detector_state,anomaly_belief,anomaly_plausibility,anomaly_decision_score,anomaly_ignorance,detection_conflict,estimated_origin,origin_score,origin_belief,origin_plausibility,origin_margin,origin_ignorance,localization_conflict,propagation_support,observed_evidence_path,alarm,localization_valid,alarm_timestamp_ms,localization_timestamp_ms,detection_fallback,localization_fallback,timing_evidence,timing_detection_reliability,timing_origin_reliability,communication_evidence,communication_detection_reliability,communication_origin_reliability,memory_control_evidence,memory_control_detection_reliability,memory_control_origin_reliability,sensor_control_evidence,sensor_control_detection_reliability,sensor_control_origin_reliability,actuator_evidence,actuator_detection_reliability,actuator_origin_reliability,plant_evidence,plant_detection_reliability,plant_origin_reliability,detection_K_0,localization_K_0,detection_K_1,localization_K_1,detection_K_2,localization_K_2,detection_K_3,localization_K_3,detection_K_4,localization_K_4,detection_K_5,localization_K_5,detection_K_6,localization_K_6,origin_mass_1,origin_mass_2,origin_mass_3,origin_mass_4,origin_mass_5,origin_mass_6,origin_mass_7,origin_mass_8,origin_mass_9,origin_mass_10,origin_mass_11,origin_mass_12,origin_mass_13,origin_mass_14,origin_mass_15,origin_mass_16,origin_mass_17,origin_mass_18,origin_mass_19,origin_mass_20,origin_mass_21,origin_mass_22,origin_mass_23,origin_mass_24,origin_mass_25,origin_mass_26,origin_mass_27,origin_mass_28,origin_mass_29,origin_mass_30,origin_mass_31,detection_mass_normal,detection_mass_abnormal,detection_mass_ignorance
1000,NORMAL,0.0071262225891978379,1,0.0071262225891978379,0.99287377741080218,0,UNKNOWN,0.20213786677675935,0,1,0,0.99287377741080218,0,0,0,0,0,-1,-1,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0071262225891978379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99287377741080218,0,0.0071262225891978379,0.99287377741080218
1100,NORMAL,0.0057009780713582706,1,0.0057009780713582706,0.99429902192864172,0,UNKNOWN,0.20171029342140748,0,1,0,0.99429902192864172,0,0,0,0,0,-1,-1,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0057009780713582706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99429902192864172,0,0.0057009780713582706,0.99429902192864172
1200,NORMAL,0.004560782457086617,1,0.004560782457086617,0.99543921754291342,0,UNKNOWN,0.20136823473712601,0,1,0,0.99543921754291342,0,0,0,0,0,-1,-1,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004560782457086617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99543921754291342,0,0.004560782457086617,0.99543921754291342
1300,NORMAL,0.0036486259656692936,1,0.0036486259656692936,0.99635137403433072,0,UNKNOWN,0.2010945877897008,0,1,0,0.99635137403433072,0,0,0,0,0,-1,-1,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0036486259656692936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99635137403433072,0,0.0036486259656692936,0.99635137403433072
1400,NORMAL,0.0029189007725354352,1,0.0029189007725354352,0.99708109922746457,0,UNKNOWN,0.20087567023176062,0,1,0,0.99708109922746457,0,0,0,0,0,-1,-1,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0029189007725354352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99708109922746457,0,0.0029189007725354352,0.99708109922746457
1500,NORMAL,0.0023351206180283481,1,0.0023351206180283481,0.99766487938197168,0,UNKNOWN,0.20070053618540853,0,1,0,0.99766487938197168,0,0,0,0,0,-1,-1,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0023351206180283481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99766487938197168,0,0.0023351206180283481,0.99766487938197168
1600,NORMAL,0.0018680964944226787,1,0.0018680964944226787,0.99813190350557734,0,UNKNOWN,0.20056042894832679,0,1,0,0.99813190350557734,0,0,0,0,0,-1,-1,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0018680964944226787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99813190350557734,0,0.0018680964944226787,0.99813190350557734
1700,NORMAL,0.0014944771955381431,1,0.0014944771955381431,0.99850552280446192,0,UNKNOWN,0.20044834315866145,0,1,0,0.99850552280446192,0,0,0,0,0,-1,-1,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0014944771955381431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99850552280446192,0,0.0014944771955381431,0.99850552280446192
1800,NORMAL,0.0011955817564305146,1,0.0011955817564305146,0.99880441824356958,0,UNKNOWN,0.20035867452692918,0,1,0,0.99880441824356958,0,0,0,0,0,-1,-1,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011955817564305146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99880441824356958,0,0.0011955817564305146,0.99880441824356958
1900,NORMAL,0.00095646540514441171,1,0.00095646540514441171,0.99904353459485562,0,UNKNOWN,0.20028693962154334,0,1,0,0.99904353459485562,0,0,0,0,0,-1,-1,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00095646540514441171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99904353459485562,0,0.00095646540514441171,0.99904353459485562
