method,first_alarm_ms,first_post_alarm_ms,origin_at_alarm,leading_at_alarm,origin_score_at_alarm,origin_margin_at_alarm,origin_ignorance_at_alarm,first_localization_ms,first_origin,samples,alarm_samples,pre_alarm_samples,mean_anomaly_ignorance,mean_origin_ignorance,mean_detection_conflict,mean_localization_conflict,high_detection_conflict_samples,high_localization_conflict_samples,propagation_samples
Final CLO-DSF,32000,32000,TIMING,TIMING,1,1,0,32000,TIMING,1201,5,0,0.995004163197,0.995004163197,0,0,0,0,0
Candidate 2,32000,32000,TIMING,TIMING,0.92,0.9,0.1,32000,TIMING,1201,5,0,0.995004163197,0.995203996669,0,0,0,0,0
Candidate 2 no origin discount,32000,32000,TIMING,TIMING,1,1,0,32000,TIMING,1201,5,0,0.995004163197,0.995004163197,0,0,0,0,0
Final no temporal,32000,32000,TIMING,TIMING,1,1,0,32000,TIMING,1201,2,0,0.998334721066,0.998334721066,0,0,0,0,0
Candidate 1,32100,32100,TIMING,TIMING,0.959595959596,0.954545454545,0.030303030303,32100,TIMING,1201,1,0,0.167113140676,0.167113140676,0.00131888453156,0.00131888453156,1,1,0
Plain DS,32000,32000,TIMING,TIMING,1,1,0,32000,TIMING,1201,2,0,0.499167360533,0.499167360533,0,0,0,0,0
Simple OR,32000,32000,UNKNOWN,UNKNOWN,0,0,1,-1,UNKNOWN,1201,2,0,1,1,0,0,0,0,0
Weighted Sum,32000,32000,UNKNOWN,UNKNOWN,0,0,1,-1,UNKNOWN,1201,2,0,1,1,0,0,0,0,0
Hybrid,-1,-1,UNKNOWN,UNKNOWN,0,0,0,-1,UNKNOWN,1201,0,0,1,1,0,0,0,0,0
Timing Monitor,32000,32000,UNKNOWN,UNKNOWN,0,0,1,-1,UNKNOWN,1201,2,0,1,1,0,0,0,0,0
