run_id,true_origin_evaluation_only,injected,detected,unknown_at_first_alarm,any_confirmed_unknown,confirmed_unknown_steps,first_unknown_ms,wrong_localized_runtime_steps,diagnostic_path_steps,control_effect,actuator_effect,plant_manifestation,observation_sha256,evidence_sha256,first_alarm_observation_sha256,mixed_origin_equivalence_levels
final_0152,TIMING,1,1,0,0,0,-1,0,0,1,1,0,c165681ff4c1a4b1e007a8d7e58512c5e591210e7a48ae5727b71d356c86eb9c,f714fca356a042cd65fedd20da4721d6d21737b65bac4667a31cef9e084b720f,5e050ad70f523772aa700a7c31a02f9b8282911ca51a7283ac4f8c8fabdf95e6,
final_0153,TIMING,1,1,0,0,0,-1,0,0,1,0,0,0e48e05d2bffe70787ba97d27da9533f1145e502f340c79b77a0b917887645c9,fb870b685119a92a572e21f601ff3d8780b3a2da13b0f33dbae1a7c296a2500d,6fa18d0b9a81df14c252f495c83958a7e53db2430323c3dd3d7fd6ec49acade1,
final_0154,TIMING,1,1,0,0,0,-1,0,0,1,1,0,8a5834173a1ed1e087b0feb0aa7949588103c4cdee9eab65496623315fa3faa6,766aeca204597785f45a390535147fbd55611f171a398575ec01bf97040567be,83c759c523dbb95e8ad1b70cdfccb2fafba4e07d390d56f12882c2e3ae6aa17e,
final_0155,TIMING,1,1,0,0,0,-1,0,0,1,0,0,73031f919b943043515fd765884a5b1c1101681ce2b7346a5dddf6bfc4cc70d7,adf253d65754b3237381dec537f10138bb46e7049817629581a0e6c4883561bb,aa1b428e33c9f11eaceae1971856367ad1348818534ac79e05a8667077aab80c,
final_0156,TIMING,1,1,0,0,0,-1,0,0,1,1,0,a679b0702fb7925f3be6591a8f0136715763a40e9b453139c2cf346720d3fcf7,766aeca204597785f45a390535147fbd55611f171a398575ec01bf97040567be,0f398bade470a7f1d8f43ca309f4a3eb33162dfe3e7d1d7ee6206eeaed4debec,
final_0157,TIMING,1,1,0,0,0,-1,0,0,1,0,0,e5c00320092e9ddfb3588686a7d1a0320adc8843ac77abc0adcb2d7ff54a2441,adf253d65754b3237381dec537f10138bb46e7049817629581a0e6c4883561bb,e46ebb45a9b6cd53e8e3cdd805a013c639c404d992f4f912248a98ef92376bfe,
final_0158,TIMING,1,1,0,0,0,-1,0,0,1,1,0,a3560c7d1d9ea9ff750c33552a34059e07603ce7257c071880aaba2594a6d010,c9df511f0729a42de22d0789430f5a9f53b1f7993e894251ddb65c548ebeca1c,6203ed94e5d2f030098b4bc4a0e5b3d47574626c37964af7eb17c12dea6009c8,
final_0159,TIMING,1,1,0,0,0,-1,0,0,1,0,0,ad0ee127358156e8b7af2e845ac5742132a1c820b5ac15a4ac4f2a2a74bbabd9,3ae938364cd0d7208a4126279aca8cec459db66977509c4b68e3771fc4e33852,788136ac197a5c79e00a2312e4f189efdfa28739c01daa5dad18ad89ba418b37,
final_0160,TIMING,1,1,0,0,0,-1,0,0,1,1,0,2a22163037c8b33a21e7aedd0cc947d2459eef69392762eab6a941f0a00e12e6,a3154509d609679699309b5edf8121bfb96047710f7dab5d84b94c5902f7691a,cd2061dcc83f058ea21667d2cd930759e21717298590705c543541afe736f0dd,
final_0161,TIMING,1,1,0,0,0,-1,0,0,1,0,0,a5d6938287e00210efe2e86d0e47378d9926165ecdc873de231978d6b0ab5da8,b91d06dd506742b20287811e08eb5cae15813e497dd0e949e5c59926a6b43f61,62ffbfcbe92df24370288ea56445491a091b2ea6cf046aa2baf38c241afe2a11,
final_0162,TIMING,1,1,0,0,0,-1,0,0,1,1,0,21dbe38f3d40a18ab3e17bb5729db02efacffbbe8c111895ad4d277f7aebc278,0ea2ee788cf40ec4df3d0fd134dc9611a8231db93e3164d2a659f0d395acc917,b03bed8de225ebb1c057f7e6ed556df0ac3c735dfdc69e53c3b6af9633d5306f,
final_0163,TIMING,1,1,0,0,0,-1,0,0,1,0,0,39fef41436331922680fbf15d99aba12a728bfaac7825ab287ad12340f198fe2,e9892df6bcf6df57b27cd9d2fd8478c54f1b7ebe002f9811ce77a612b8be70ab,15de86ab2b5709592d45a461368f4195d15480a4fd028ff789d7987671510cae,
final_0164,TIMING,1,1,0,0,0,-1,0,0,1,1,0,22b7a3a01f6224eba01fd175398d1c3a05cc77725ae69e22e5083b2834ec4988,0ea2ee788cf40ec4df3d0fd134dc9611a8231db93e3164d2a659f0d395acc917,56c96b209bc2423b2b2a7a1fa3e970890e0d2eddae467709b4e43ccfdc9e9554,
