true_origin_evaluation_only,MEMORY,TIMING,COMMUNICATION,SENSOR_CONTROL,ACTUATOR,UNKNOWN,misses
MEMORY,108,0,0,0,0,0,36
TIMING,0,144,0,0,0,0,0
COMMUNICATION,0,0,96,0,0,0,48
SENSOR_CONTROL,0,0,0,0,0,144,0
ACTUATOR,0,0,0,0,114,0,30
