method,runs,faulty_runs,benign_runs,detected,coverage,macro_coverage,silent_plant,benign_false_alarms,benign_false_alarm_rate,precision,recall,latency_median_ms,latency_p95_ms,localized,localization_coverage,correct_localizations,wrong_localizations,localization_accuracy,macro_localization_accuracy,accuracy_when_localized,wrong_localization_rate,unknown,unknown_rate,localized_before_plant,preinjection_alarm_runs,propagation_supported_runs,control_effect_runs,coverage_given_control_effect,actuator_effect_runs,coverage_given_actuator_effect,plant_manifestation_runs,coverage_given_plant_manifestation,pre_plant_alarms,same_plant_alarms,post_plant_alarms,mean_anomaly_ignorance,mean_origin_ignorance,mean_detection_conflict,mean_localization_conflict,high_detection_conflict_runs,high_localization_conflict_runs,silent_plant_rate,localization_latency_median_ms,localization_latency_p95_ms,coverage_wilson_low,coverage_wilson_high,benign_false_alarm_rate_wilson_low,benign_false_alarm_rate_wilson_high,plant_coverage_wilson_low,plant_coverage_wilson_high,silent_plant_rate_wilson_low,silent_plant_rate_wilson_high,localization_coverage_wilson_low,localization_coverage_wilson_high,localized_accuracy_wilson_low,localized_accuracy_wilson_high,correct_among_alarms_wilson_low,correct_among_alarms_wilson_high,unknown_rate_wilson_low,unknown_rate_wilson_high,wrong_origin_rate_wilson_low,wrong_origin_rate_wilson_high
Final CLO-DSF,900,720,180,606,0.8416666666666667,0.8416666666666667,36,0,0.0,1.0,0.8416666666666667,0.0,300.0,462,0.7623762376237624,462,0,0.7623762376237624,0.8,1.0,0.0,144,0.2376237623762376,325,0,0,660,0.906060606060606,636,0.9025157232704403,547,0.9341864716636198,469,0,42,0.9020404288659667,0.9020995801335355,0.0,0.0017182947021640207,0,29,0.06581352833638025,0.0,300.0,0.8131977474045988,0.8665091055319301,0,0.02089549792161305,0.9102317080974737,0.9520853749647483,0.047914625035251665,0.0897682919025264,0.7269023490631795,0.7945446522852456,0.9917537206104003,1,0.7269023490631795,0.7945446522852456,0.20545534771475443,0.2730976509368205,0,0.006299110637906947
Candidate 2,900,720,180,606,0.8416666666666667,0.8416666666666667,36,0,0.0,1.0,0.8416666666666667,0.0,300.0,456,0.7524752475247525,456,0,0.7524752475247525,0.7894736842105263,1.0,0.0,150,0.24752475247524752,325,0,0,660,0.906060606060606,636,0.9025157232704403,547,0.9341864716636198,469,0,42,0.9020404288659667,0.9065426951646989,0.0,0.0009443348181143,0,0,0.06581352833638025,0.0,300.0,0.8131977474045988,0.8665091055319301,0,0.02089549792161305,0.9102317080974737,0.9520853749647483,0.047914625035251665,0.0897682919025264,0.7165952586291687,0.7851744973853535,0.9916461233605471,1,0.7165952586291687,0.7851744973853535,0.21482550261464647,0.28340474137083127,0,0.006299110637906947
Candidate 2 no origin discount,900,720,180,606,0.8416666666666667,0.8416666666666667,36,0,0.0,1.0,0.8416666666666667,0.0,300.0,462,0.7623762376237624,462,0,0.7623762376237624,0.8,1.0,0.0,144,0.2376237623762376,325,0,0,660,0.906060606060606,636,0.9025157232704403,547,0.9341864716636198,469,0,42,0.9020404288659667,0.9020995801335355,0.0,0.0017182947021640207,0,29,0.06581352833638025,0.0,300.0,0.8131977474045988,0.8665091055319301,0,0.02089549792161305,0.9102317080974737,0.9520853749647483,0.047914625035251665,0.0897682919025264,0.7269023490631795,0.7945446522852456,0.9917537206104003,1,0.7269023490631795,0.7945446522852456,0.20545534771475443,0.2730976509368205,0,0.006299110637906947
Final no temporal,900,720,180,564,0.7833333333333333,0.7833333333333333,78,0,0.0,1.0,0.7833333333333333,0.0,200.0,420,0.7446808510638298,420,0,0.7446808510638298,0.8,1.0,0.0,144,0.2553191489361702,325,0,0,660,0.8424242424242424,636,0.8364779874213837,547,0.8574040219378428,469,0,0,0.9134290772817723,0.9134290772817723,0.0,0.001621928339431678,0,10,0.1425959780621572,0.0,200.0,0.7517799721566815,0.8118793693028791,0,0.02089549792161305,0.8256054861830988,0.8842176285060144,0.11578237149398558,0.17439451381690116,0.707123186989556,0.778927973440334,0.9909365666318185,0.9999999999999999,0.707123186989556,0.778927973440334,0.22107202655966593,0.292876813010444,0,0.006765019991094263
Candidate 1,900,720,180,492,0.6833333333333333,0.6833333333333333,150,0,0.0,1.0,0.6833333333333333,100.0,500.0,420,0.8536585365853658,420,0,0.8536585365853658,0.8,1.0,0.0,72,0.14634146341463414,142,0,2,660,0.7333333333333333,636,0.7232704402515723,547,0.7257769652650823,142,165,90,0.15720032493507421,0.15720032493507421,0.0049164755501568,0.0049164755501568,408,408,0.2742230347349177,100.0,300.0,0.64845857424422,0.7162621761119662,0,0.02089549792161305,0.6869138609523612,0.7614910222399943,0.23850897776000568,0.31308613904763893,0.8196880222342178,0.882149215877498,0.9909365666318185,0.9999999999999999,0.8196880222342178,0.882149215877498,0.1178507841225021,0.18031197776578217,0,0.007747353014470844
Plain DS,900,720,180,564,0.7833333333333333,0.7833333333333333,78,0,0.0,1.0,0.7833333333333333,0.0,200.0,420,0.7446808510638298,420,0,0.7446808510638298,0.8,1.0,0.0,144,0.2553191489361702,325,0,0,660,0.8424242424242424,636,0.8364779874213837,547,0.8574040219378428,469,0,0,0.45913406533885665,0.45913406533885665,0.003232886153740368,0.003232886153740368,10,10,0.1425959780621572,0.0,200.0,0.7517799721566815,0.8118793693028791,0,0.02089549792161305,0.8256054861830988,0.8842176285060144,0.11578237149398558,0.17439451381690116,0.707123186989556,0.778927973440334,0.9909365666318185,0.9999999999999999,0.707123186989556,0.778927973440334,0.22107202655966593,0.292876813010444,0,0.006765019991094263
