level,sha256,runs,true_origins_evaluation_only,run_ids,detected,unknown_at_first_alarm,interpretation
full_evidence_history,87c253e5d7bd5503e469c1232fe6f77d430d74d0e87c56f6dd17c9ddf2127b3f,24,COMMUNICATION|MEMORY,final_0072|final_0073|final_0088|final_0089|final_0096|final_0097|final_0112|final_0113|final_0120|final_0121|final_0136|final_0137|final_0288|final_0289|final_0304|final_0305|final_0320|final_0321|final_0336|final_0337|final_0352|final_0353|final_0368|final_0369,0,0,Indistinguishable to this complete evidence map
full_evidence_history,a03823fc15b58ee26e6c1193cf5917b098d8a98ca37a3e24137a0a5579573ce5,42,COMMUNICATION|MEMORY,final_0076|final_0077|final_0082|final_0083|final_0092|final_0093|final_0100|final_0101|final_0106|final_0107|final_0116|final_0117|final_0124|final_0125|final_0130|final_0131|final_0140|final_0141|final_0290|final_0291|final_0292|final_0293|final_0306|final_0307|final_0308|final_0309|final_0322|final_0323|final_0324|final_0325|final_0338|final_0339|final_0340|final_0341|final_0354|final_0355|final_0356|final_0357|final_0370|final_0371|final_0372|final_0373,0,0,Indistinguishable to this complete evidence map
full_evidence_history,ed2edfd8ef6a2fff35554ab56fbaa499e584783f75a2888b722b29a1ebfba783,18,COMMUNICATION|MEMORY,final_0086|final_0087|final_0110|final_0111|final_0134|final_0135|final_0294|final_0295|final_0310|final_0311|final_0326|final_0327|final_0342|final_0343|final_0358|final_0359|final_0374|final_0375,0,0,Indistinguishable to this complete evidence map
