method,origin,runs,faulty_runs,benign_runs,detected,coverage,macro_coverage,silent_plant,benign_false_alarms,benign_false_alarm_rate,precision,recall,latency_median_ms,latency_p95_ms,localized,localization_coverage,correct_localizations,wrong_localizations,localization_accuracy,macro_localization_accuracy,accuracy_when_localized,wrong_localization_rate,unknown,unknown_rate,localized_before_plant,preinjection_alarm_runs,propagation_supported_runs,control_effect_runs,coverage_given_control_effect,actuator_effect_runs,coverage_given_actuator_effect,plant_manifestation_runs,coverage_given_plant_manifestation,pre_plant_alarms,same_plant_alarms,post_plant_alarms,mean_anomaly_ignorance,mean_origin_ignorance,mean_detection_conflict,mean_localization_conflict,high_detection_conflict_runs,high_localization_conflict_runs,silent_plant_rate,localization_latency_median_ms,localization_latency_p95_ms,coverage_wilson_low,coverage_wilson_high,benign_false_alarm_rate_wilson_low,benign_false_alarm_rate_wilson_high,plant_coverage_wilson_low,plant_coverage_wilson_high,silent_plant_rate_wilson_low,silent_plant_rate_wilson_high,localization_coverage_wilson_low,localization_coverage_wilson_high,localized_accuracy_wilson_low,localized_accuracy_wilson_high,correct_among_alarms_wilson_low,correct_among_alarms_wilson_high,unknown_rate_wilson_low,unknown_rate_wilson_high,wrong_origin_rate_wilson_low,wrong_origin_rate_wilson_high
Final no temporal,ACTUATOR,144,144,0,108,0.75,0.75,36,0,,1.0,0.75,0.0,0.0,108,1.0,108,0,1.0,1.0,1.0,0.0,0,0.0,108,0,0,144,0.75,144,0.75,144,0.75,108,0,0,0.9381048596104792,0.9381048596104792,0.0,0.0037005781901304304,0,2,0.25,0.0,0.0,0.6734032433458373,0.8136049380826443,,,0.6734032433458373,0.8136049380826443,0.18639506191735566,0.32659675665416266,0.9656526402534428,0.9999999999999999,0.9656526402534428,0.9999999999999999,0.9656526402534428,0.9999999999999999,0,0.034347359746557025,0,0.034347359746557025
Candidate 1,MEMORY,144,144,0,72,0.5,0.5,36,0,,1.0,0.5,100.0,100.0,72,1.0,72,0,1.0,1.0,1.0,0.0,0,0.0,0,0,0,108,0.6666666666666666,108,0.6666666666666666,108,0.6666666666666666,0,72,0,0.15475088043497223,0.15475088043497223,0.011598105592814024,0.011598105592814024,72,72,0.3333333333333333,100.0,100.0,0.4194027960425476,0.5805972039574524,,,0.5733891673119,0.7484950461059141,0.25150495389408567,0.42661083268809985,0.9493488274035422,1,0.9493488274035422,1,0.9493488274035422,1,0,0.05065117259645781,0,0.05065117259645781
Candidate 1,TIMING,144,144,0,144,1.0,1.0,0,0,,1.0,1.0,150.0,200.0,144,1.0,144,0,1.0,1.0,1.0,0.0,0,0.0,82,0,0,144,1.0,120,1.0,82,1.0,82,0,0,0.13743589325174305,0.13743589325174305,0.0026302610458860277,0.0026302610458860277,144,144,0.0,150.0,200.0,0.9740163628569635,1,,,0.9552493763098998,1,0,0.04475062369010033,0.9740163628569635,1,0.9740163628569635,1,0.9740163628569635,1,0,0.025983637143036746,0,0.025983637143036746
Candidate 1,COMMUNICATION,144,144,0,96,0.6666666666666666,0.6666666666666666,6,0,,1.0,0.6666666666666666,200.0,300.0,96,1.0,96,0,1.0,1.0,1.0,0.0,0,0.0,60,0,0,120,0.7333333333333333,120,0.7333333333333333,69,0.9130434782608695,60,3,0,0.15145485198094305,0.15145485198094305,0.007364650040450495,0.007364650040450495,96,96,0.08695652173913043,200.0,300.0,0.5862249854783737,0.7384471354739475,,,0.8229850166105782,0.959536378798466,0.040463621201533975,0.1770149833894218,0.9615244121423243,1,0.9615244121423243,1,0.9615244121423243,1,3.469446951953614e-18,0.038475587857675686,3.469446951953614e-18,0.038475587857675686
Candidate 1,SENSOR_CONTROL,144,144,0,72,0.5,0.5,72,0,,1.0,0.5,400.0,500.0,0,0.0,0,0,0.0,0.0,,0.0,72,1.0,0,0,0,144,0.5,144,0.5,144,0.5,0,0,72,0.16620817017878473,0.16620817017878473,0.0015874624546110417,0.0015874624546110417,0,0,0.5,,,0.4194027960425476,0.5805972039574524,,,0.4194027960425476,0.5805972039574524,0.4194027960425476,0.5805972039574524,0,0.05065117259645781,,,0,0.05065117259645781,0.9493488274035422,1,0,0.05065117259645781
Candidate 1,ACTUATOR,144,144,0,108,0.75,0.75,36,0,,1.0,0.75,100.0,364.99999999999915,108,1.0,108,0,1.0,1.0,1.0,0.0,0,0.0,0,0,2,144,0.75,144,0.75,144,0.75,0,90,18,0.16371191629113888,0.16371191629113888,0.007520742202094958,0.007520742202094958,96,96,0.25,100.0,364.99999999999915,0.6734032433458373,0.8136049380826443,,,0.6734032433458373,0.8136049380826443,0.18639506191735566,0.32659675665416266,0.9656526402534428,0.9999999999999999,0.9656526402534428,0.9999999999999999,0.9656526402534428,0.9999999999999999,0,0.034347359746557025,0,0.034347359746557025
Plain DS,MEMORY,144,144,0,72,0.5,0.5,36,0,,1.0,0.5,0.0,0.0,72,1.0,72,0,1.0,1.0,1.0,0.0,0,0.0,72,0,0,108,0.6666666666666666,108,0.6666666666666666,108,0.6666666666666666,72,0,0,0.4454419582688889,0.4454419582688889,0.011303804273528293,0.011303804273528293,8,8,0.3333333333333333,0.0,0.0,0.4194027960425476,0.5805972039574524,,,0.5733891673119,0.7484950461059141,0.25150495389408567,0.42661083268809985,0.9493488274035422,1,0.9493488274035422,1,0.9493488274035422,1,0,0.05065117259645781,0,0.05065117259645781
Plain DS,TIMING,144,144,0,144,1.0,1.0,0,0,,1.0,1.0,50.0,100.0,144,1.0,144,0,1.0,1.0,1.0,0.0,0,0.0,82,0,0,144,1.0,120,1.0,82,1.0,82,0,0,0.3961396172165903,0.3961396172165903,2.392710720824e-05,2.392710720824e-05,0,0,0.0,50.0,100.0,0.9740163628569635,1,,,0.9552493763098998,1,0,0.04475062369010033,0.9740163628569635,1,0.9740163628569635,1,0.9740163628569635,1,0,0.025983637143036746,0,0.025983637143036746
Plain DS,COMMUNICATION,144,144,0,96,0.6666666666666666,0.6666666666666666,6,0,,1.0,0.6666666666666666,100.0,200.0,96,1.0,96,0,1.0,1.0,1.0,0.0,0,0.0,63,0,0,120,0.7333333333333333,120,0.7333333333333333,69,0.9130434782608695,63,0,0,0.44173933034463886,0.44173933034463886,2.6912284679853613e-05,2.6912284679853613e-05,0,0,0.08695652173913043,100.0,200.0,0.5862249854783737,0.7384471354739475,,,0.8229850166105782,0.959536378798466,0.040463621201533975,0.1770149833894218,0.9615244121423243,1,0.9615244121423243,1,0.9615244121423243,1,3.469446951953614e-18,0.038475587857675686,3.469446951953614e-18,0.038475587857675686
Plain DS,SENSOR_CONTROL,144,144,0,144,1.0,1.0,0,0,,1.0,1.0,50.0,100.0,0,0.0,0,0,0.0,0.0,,0.0,144,1.0,0,0,0,144,1.0,144,1.0,144,1.0,144,0,0,0.48472511921502776,0.48472511921502776,9.352433531804562e-05,9.352433531804562e-05,0,0,0.0,,,0.9740163628569635,1,,,0.9740163628569635,1,0,0.025983637143036746,0,0.025983637143036746,,,0,0.025983637143036746,0.9740163628569635,1,0,0.025983637143036746
Plain DS,ACTUATOR,144,144,0,108,0.75,0.75,36,0,,1.0,0.75,0.0,0.0,108,1.0,108,0,1.0,1.0,1.0,0.0,0,0.0,108,0,0,144,0.75,144,0.75,144,0.75,108,0,0,0.4765223072790903,0.4765223072790903,0.008715385044006993,0.008715385044006993,2,2,0.25,0.0,0.0,0.6734032433458373,0.8136049380826443,,,0.6734032433458373,0.8136049380826443,0.18639506191735566,0.32659675665416266,0.9656526402534428,0.9999999999999999,0.9656526402534428,0.9999999999999999,0.9656526402534428,0.9999999999999999,0,0.034347359746557025,0,0.034347359746557025
Simple OR,MEMORY,144,144,0,72,0.5,0.5,36,0,,1.0,0.5,0.0,0.0,0,0.0,0,0,0.0,0.0,,0.0,72,1.0,0,0,0,108,0.6666666666666666,108,0.6666666666666666,108,0.6666666666666666,72,0,0,1.0,1.0,0.0,0.0,0,0,0.3333333333333333,,,0.4194027960425476,0.5805972039574524,,,0.5733891673119,0.7484950461059141,0.25150495389408567,0.42661083268809985,0,0.05065117259645781,,,0,0.05065117259645781,0.9493488274035422,1,0,0.05065117259645781
Simple OR,TIMING,144,144,0,144,1.0,1.0,0,0,,1.0,1.0,50.0,100.0,0,0.0,0,0,0.0,0.0,,0.0,144,1.0,0,0,0,144,1.0,120,1.0,82,1.0,82,0,0,1.0,1.0,0.0,0.0,0,0,0.0,,,0.9740163628569635,1,,,0.9552493763098998,1,0,0.04475062369010033,0,0.025983637143036746,,,0,0.025983637143036746,0.9740163628569635,1,0,0.025983637143036746
Simple OR,COMMUNICATION,144,144,0,96,0.6666666666666666,0.6666666666666666,6,0,,1.0,0.6666666666666666,100.0,200.0,0,0.0,0,0,0.0,0.0,,0.0,96,1.0,0,0,0,120,0.7333333333333333,120,0.7333333333333333,69,0.9130434782608695,63,0,0,1.0,1.0,0.0,0.0,0,0,0.08695652173913043,,,0.5862249854783737,0.7384471354739475,,,0.8229850166105782,0.959536378798466,0.040463621201533975,0.1770149833894218,3.469446951953614e-18,0.038475587857675686,,,3.469446951953614e-18,0.038475587857675686,0.9615244121423243,1,3.469446951953614e-18,0.038475587857675686
Simple OR,SENSOR_CONTROL,144,144,0,144,1.0,1.0,0,0,,1.0,1.0,50.0,100.0,0,0.0,0,0,0.0,0.0,,0.0,144,1.0,0,0,0,144,1.0,144,1.0,144,1.0,144,0,0,1.0,1.0,0.0,0.0,0,0,0.0,,,0.9740163628569635,1,,,0.9740163628569635,1,0,0.025983637143036746,0,0.025983637143036746,,,0,0.025983637143036746,0.9740163628569635,1,0,0.025983637143036746
Simple OR,ACTUATOR,144,144,0,108,0.75,0.75,36,0,,1.0,0.75,0.0,0.0,0,0.0,0,0,0.0,0.0,,0.0,108,1.0,0,0,0,144,0.75,144,0.75,144,0.75,108,0,0,1.0,1.0,0.0,0.0,0,0,0.25,,,0.6734032433458373,0.8136049380826443,,,0.6734032433458373,0.8136049380826443,0.18639506191735566,0.32659675665416266,0,0.034347359746557025,,,0,0.034347359746557025,0.9656526402534428,0.9999999999999999,0,0.034347359746557025
Weighted Sum,MEMORY,144,144,0,108,0.75,0.75,0,0,,1.0,0.75,0.0,0.0,0,0.0,0,0,0.0,0.0,,0.0,108,1.0,0,0,0,108,1.0,108,1.0,108,1.0,108,0,0,1.0,1.0,0.0,0.0,0,0,0.0,,,0.6734032433458373,0.8136049380826443,,,0.9656526402534428,0.9999999999999999,0,0.034347359746557025,0,0.034347359746557025,,,0,0.034347359746557025,0.9656526402534428,0.9999999999999999,0,0.034347359746557025
Weighted Sum,TIMING,144,144,0,144,1.0,1.0,0,0,,1.0,1.0,50.0,100.0,0,0.0,0,0,0.0,0.0,,0.0,144,1.0,0,0,0,144,1.0,120,1.0,82,1.0,82,0,0,1.0,1.0,0.0,0.0,0,0,0.0,,,0.9740163628569635,1,,,0.9552493763098998,1,0,0.04475062369010033,0,0.025983637143036746,,,0,0.025983637143036746,0.9740163628569635,1,0,0.025983637143036746
Weighted Sum,COMMUNICATION,144,144,0,96,0.6666666666666666,0.6666666666666666,6,0,,1.0,0.6666666666666666,100.0,200.0,0,0.0,0,0,0.0,0.0,,0.0,96,1.0,0,0,0,120,0.7333333333333333,120,0.7333333333333333,69,0.9130434782608695,63,0,0,1.0,1.0,0.0,0.0,0,0,0.08695652173913043,,,0.5862249854783737,0.7384471354739475,,,0.8229850166105782,0.959536378798466,0.040463621201533975,0.1770149833894218,3.469446951953614e-18,0.038475587857675686,,,3.469446951953614e-18,0.038475587857675686,0.9615244121423243,1,3.469446951953614e-18,0.038475587857675686
Weighted Sum,SENSOR_CONTROL,144,144,0,144,1.0,1.0,0,0,,1.0,1.0,50.0,100.0,0,0.0,0,0,0.0,0.0,,0.0,144,1.0,0,0,0,144,1.0,144,1.0,144,1.0,144,0,0,1.0,1.0,0.0,0.0,0,0,0.0,,,0.9740163628569635,1,,,0.9740163628569635,1,0,0.025983637143036746,0,0.025983637143036746,,,0,0.025983637143036746,0.9740163628569635,1,0,0.025983637143036746
Weighted Sum,ACTUATOR,144,144,0,114,0.7916666666666666,0.7916666666666666,30,0,,1.0,0.7916666666666666,0.0,34.99999999999943,0,0.0,0,0,0.0,0.0,,0.0,114,1.0,0,0,0,144,0.7916666666666666,144,0.7916666666666666,144,0.7916666666666666,108,3,3,1.0,1.0,0.0,0.0,0,0,0.20833333333333334,,,0.718187193141116,0.8499890185254458,,,0.718187193141116,0.8499890185254458,0.1500109814745541,0.281812806858884,0,0.03259853415884162,,,0,0.03259853415884162,0.9674014658411585,1,0,0.03259853415884162
Hybrid,MEMORY,144,144,0,46,0.3194444444444444,0.3194444444444444,62,0,,1.0,0.3194444444444444,0.0,3400.0,0,0.0,0,0,0.0,0.0,,0.0,46,1.0,0,0,0,108,0.42592592592592593,108,0.42592592592592593,108,0.42592592592592593,30,0,16,1.0,1.0,0.0,0.0,0,0,0.5740740740740741,,,0.24883092287106792,0.3994409460972509,,,0.33679220437956364,0.5201481452125187,0.4798518547874811,0.6632077956204363,0,0.07707356308558039,,,0,0.07707356308558039,0.9229264369144198,1,0,0.07707356308558039
Hybrid,TIMING,144,144,0,4,0.027777777777777776,0.027777777777777776,78,0,,1.0,0.027777777777777776,21700.0,28445.0,0,0.0,0,0,0.0,0.0,,0.0,4,1.0,0,0,0,144,0.027777777777777776,120,0.03333333333333333,82,0.04878048780487805,0,0,4,1.0,1.0,0.0,0.0,0,0,0.9512195121951219,,,0.01085411795640967,0.06924153934534726,,,0.019131065567745804,0.1188146192257594,0.8811853807742406,0.9808689344322542,0,0.4898908364545973,,,0,0.4898908364545973,0.5101091635454027,1,0,0.4898908364545973
Hybrid,COMMUNICATION,144,144,0,96,0.6666666666666666,0.6666666666666666,6,0,,1.0,0.6666666666666666,100.0,200.0,0,0.0,0,0,0.0,0.0,,0.0,96,1.0,0,0,0,120,0.7333333333333333,120,0.7333333333333333,69,0.9130434782608695,63,0,0,1.0,1.0,0.0,0.0,0,0,0.08695652173913043,,,0.5862249854783737,0.7384471354739475,,,0.8229850166105782,0.959536378798466,0.040463621201533975,0.1770149833894218,3.469446951953614e-18,0.038475587857675686,,,3.469446951953614e-18,0.038475587857675686,0.9615244121423243,1,3.469446951953614e-18,0.038475587857675686
Hybrid,SENSOR_CONTROL,144,144,0,144,1.0,1.0,0,0,,1.0,1.0,100.0,400.0,0,0.0,0,0,0.0,0.0,,0.0,144,1.0,0,0,0,144,1.0,144,1.0,144,1.0,108,12,24,1.0,1.0,0.0,0.0,0,0,0.0,,,0.9740163628569635,1,,,0.9740163628569635,1,0,0.025983637143036746,0,0.025983637143036746,,,0,0.025983637143036746,0.9740163628569635,1,0,0.025983637143036746
Hybrid,ACTUATOR,144,144,0,115,0.7986111111111112,0.7986111111111112,29,0,,1.0,0.7986111111111112,0.0,2200.0,0,0.0,0,0,0.0,0.0,,0.0,115,1.0,0,0,0,144,0.7986111111111112,144,0.7986111111111112,144,0.7986111111111112,90,6,19,1.0,1.0,0.0,0.0,0,0,0.2013888888888889,,,0.725743069235038,0.8559611474712041,,,0.725743069235038,0.8559611474712041,0.14403885252879595,0.2742569307649621,0,0.03232423144931307,,,0,0.03232423144931307,0.9676757685506868,0.9999999999999999,0,0.03232423144931307
Timing Monitor,TIMING,144,144,0,144,1.0,1.0,0,0,,1.0,1.0,50.0,100.0,0,0.0,0,0,0.0,0.0,,0.0,144,1.0,0,0,0,144,1.0,120,1.0,82,1.0,82,0,0,1.0,1.0,0.0,0.0,0,0,0.0,,,0.9740163628569635,1,,,0.9552493763098998,1,0,0.04475062369010033,0,0.025983637143036746,,,0,0.025983637143036746,0.9740163628569635,1,0,0.025983637143036746
