start_ms,end_ms,vehicle_speed_kph,engine_load,ambient_temp_c,external_airflow_factor,road_slope_percent
0,24000,37.44,0.29519999999999996,24,0,0
24000,76000,52,0.41,24,0,0
76000,120000,46.800000000000004,0.369,24,0,0
