start_ms,end_ms,vehicle_speed_kph,engine_load,ambient_temp_c,external_airflow_factor,road_slope_percent
0,24000,39.6,0.23759999999999995,26,0,0
24000,76000,55,0.32999999999999996,26,0,0
76000,120000,49.5,0.297,26,0,0
