start_ms,end_ms,vehicle_speed_kph,engine_load,ambient_temp_c,external_airflow_factor,road_slope_percent
0,24000,73.44,0.5975999999999999,30,0,0
24000,76000,102,0.83,30,0,0
76000,120000,91.8,0.747,30,0,0
