start_ms,end_ms,vehicle_speed_kph,engine_load,ambient_temp_c,external_airflow_factor,road_slope_percent
0,24000,17.28,0.4824,30,0,0
24000,76000,24,0.67,30,0,0
76000,120000,21.6,0.6030000000000001,30,0,0
