start_ms,end_ms,vehicle_speed_kph,engine_load,ambient_temp_c,external_airflow_factor,road_slope_percent
0,24000,74.16,0.6264,28,0,0
24000,76000,103,0.87,28,0,0
76000,120000,92.7,0.783,28,0,0
