start_ms,end_ms,vehicle_speed_kph,engine_load,ambient_temp_c,external_airflow_factor,road_slope_percent
0,24000,1.44,0.6983999999999999,37,0,0
24000,76000,2,0.97,37,0,0
76000,120000,1.8,0.873,37,0,0
