start_ms,end_ms,vehicle_speed_kph,engine_load,ambient_temp_c,external_airflow_factor,road_slope_percent
0,24000,71.28,0.6264,32,0,0
24000,76000,99,0.87,32,0,0
76000,120000,89.10000000000001,0.783,32,0,0
