start_ms,end_ms,vehicle_speed_kph,engine_load,ambient_temp_c,external_airflow_factor,road_slope_percent
0,24000,5.76,0.7272,39,0,0
24000,76000,8,1,39,0,0
76000,120000,7.2,0.909,39,0,0
