run_id,origin,model,behavior,magnitude,stuck_polarity,start_ms,duration_ms,group,partition,profile,workload,seed,simulation_duration_ms,sensor_variation,initially_latent_stuck,profile_semantic_sha256,reference_seed,sensor_chain,sensor_ramp_rise_ms,reference_offset,reference_noise,benign_reference_magnitude,benign_reference_duration,configuration_sha256,effective_memory_corruption,first_integrity_mismatch_ms,first_consumption_mismatch_ms,first_sensor_residual_ms,first_positive_feature_ms,max_sensor_strength,raw_sha256,runtime_trace_sha256,method,first_alarm_ms,first_post_alarm_ms,origin_at_alarm,leading_at_alarm,origin_score_at_alarm,origin_margin_at_alarm,origin_ignorance_at_alarm,first_localization_ms,first_origin,samples,alarm_samples,pre_alarm_samples,mean_anomaly_ignorance,mean_origin_ignorance,mean_detection_conflict,mean_localization_conflict,high_detection_conflict_samples,high_localization_conflict_samples,propagation_samples,alarm_UNKNOWN,alarm_MEMORY,alarm_TIMING,alarm_COMMUNICATION,alarm_SENSOR_CONTROL,alarm_ACTUATOR,injected,detected,false_alarm,latency_ms,integrity_latency_ms,control_effect,actuator_effect,plant_manifestation,propagation_plant_ms,propagation_control_ms,propagation_actuator_command_ms,silent_plant,wrong_localized_runtime_samples,miss_category,localized_correct,unknown_at_alarm,localized_wrong,localization_before_plant
final_redundant_0001,MEMORY,stuck_bit,intermittent,0,0,18000,13200,final_redundant_family_0,final-unseen,final_redundant_profile_0001,authorized_updates,7600110,120000,0.045:0:13100,1,a04da37a022dfced9aba10ce6e4be55cb3a28f0cd65e75f9f15cbc41f0add13b,9600126,none,0,-0.078,0.055,0,0,cb42000d97ff2c1188265acd3d3ef01daac9f63f5f7b2baa04e2609710201234,0,-1,-1,38700,18000,0.0359039306640625,d6eef58b798cc6d39ba009da094f0ed235d6b727806e35603a20f1da4e30d649,45d1921440bec5f5d630c2caceab4e173e46e4ffaa77fd1121ef806c60d383af,Weighted Sum,42100,42100,UNKNOWN,UNKNOWN,0.0,0.0,1.0,-1,UNKNOWN,1201,395,0,1.0,1.0,0.0,0.0,0,0,0,395,0,0,0,0,0,1,1,0,24100,,0,0,0,,,,0,0,,0,1,0,0
final_redundant_0001,MEMORY,stuck_bit,intermittent,0,0,18000,13200,final_redundant_family_0,final-unseen,final_redundant_profile_0001,authorized_updates,7600110,120000,0.045:0:13100,1,a04da37a022dfced9aba10ce6e4be55cb3a28f0cd65e75f9f15cbc41f0add13b,9600126,none,0,-0.078,0.055,0,0,cb42000d97ff2c1188265acd3d3ef01daac9f63f5f7b2baa04e2609710201234,0,-1,-1,38700,18000,0.0359039306640625,d6eef58b798cc6d39ba009da094f0ed235d6b727806e35603a20f1da4e30d649,45d1921440bec5f5d630c2caceab4e173e46e4ffaa77fd1121ef806c60d383af,Hybrid,42700,42700,UNKNOWN,UNKNOWN,0.0,0.0,1.0,-1,UNKNOWN,1201,601,0,1.0,1.0,0.0,0.0,0,0,0,601,0,0,0,0,0,1,1,0,24700,,0,0,0,,,,0,0,,0,1,0,0
final_redundant_0002,MEMORY,stuck_bit,permanent,0,0,18700,0,final_redundant_family_0,final-unseen,final_redundant_profile_0002,static_target,7600211,120000,0.015:0:13100,1,781b0e10235a5380b6dd5a4b57c10dfebf84ca4ac5b126884b795945d9ac9995,9600235,none,0,-0.039,0.085,0,0,3dd085925e1d22ff28b2dea481fbb6945f2d22d05ad13133ab752d1d83b282a2,0,-1,-1,38700,19000,0.001850128173828125,e931c7c131cd930a5815c1367a64ae3511b9915680314fcf7cf1b13800452d0e,fe2f231ba1b4cfd1272b631ec20d12627fbc1aea36ce9188e8063dbb82b0c446,Revised CLO-DSF,19000,19000,MEMORY,MEMORY,1.0,1.0,0.0,19000,MEMORY,1201,1011,0,0.158201498751,0.158201498751,0.0,0.0,0,0,0,0,1011,0,0,0,0,1,1,0,300,,0,0,0,,,,0,0,,1,0,0,0
final_redundant_0002,MEMORY,stuck_bit,permanent,0,0,18700,0,final_redundant_family_0,final-unseen,final_redundant_profile_0002,static_target,7600211,120000,0.015:0:13100,1,781b0e10235a5380b6dd5a4b57c10dfebf84ca4ac5b126884b795945d9ac9995,9600235,none,0,-0.039,0.085,0,0,3dd085925e1d22ff28b2dea481fbb6945f2d22d05ad13133ab752d1d83b282a2,0,-1,-1,38700,19000,0.001850128173828125,e931c7c131cd930a5815c1367a64ae3511b9915680314fcf7cf1b13800452d0e,fe2f231ba1b4cfd1272b631ec20d12627fbc1aea36ce9188e8063dbb82b0c446,Pre-change CLO-DSF,19000,19000,MEMORY,MEMORY,1.0,1.0,0.0,19000,MEMORY,1201,1011,0,0.158201498751,0.158201498751,0.0,0.0,0,0,0,0,1011,0,0,0,0,1,1,0,300,,0,0,0,,,,0,0,,1,0,0,0
final_redundant_0002,MEMORY,stuck_bit,permanent,0,0,18700,0,final_redundant_family_0,final-unseen,final_redundant_profile_0002,static_target,7600211,120000,0.015:0:13100,1,781b0e10235a5380b6dd5a4b57c10dfebf84ca4ac5b126884b795945d9ac9995,9600235,none,0,-0.039,0.085,0,0,3dd085925e1d22ff28b2dea481fbb6945f2d22d05ad13133ab752d1d83b282a2,0,-1,-1,38700,19000,0.001850128173828125,e931c7c131cd930a5815c1367a64ae3511b9915680314fcf7cf1b13800452d0e,fe2f231ba1b4cfd1272b631ec20d12627fbc1aea36ce9188e8063dbb82b0c446,Plain DS,-1,-1,UNKNOWN,UNKNOWN,0.0,0.0,0.0,-1,UNKNOWN,1201,0,0,0.500000383339,0.500000383339,7.6881981664e-07,7.6881981664e-07,0,0,0,0,0,0,0,0,0,1,0,0,,,0,0,0,,,,0,0,A,0,0,0,0
final_redundant_0002,MEMORY,stuck_bit,permanent,0,0,18700,0,final_redundant_family_0,final-unseen,final_redundant_profile_0002,static_target,7600211,120000,0.015:0:13100,1,781b0e10235a5380b6dd5a4b57c10dfebf84ca4ac5b126884b795945d9ac9995,9600235,none,0,-0.039,0.085,0,0,3dd085925e1d22ff28b2dea481fbb6945f2d22d05ad13133ab752d1d83b282a2,0,-1,-1,38700,19000,0.001850128173828125,e931c7c131cd930a5815c1367a64ae3511b9915680314fcf7cf1b13800452d0e,fe2f231ba1b4cfd1272b631ec20d12627fbc1aea36ce9188e8063dbb82b0c446,Simple OR,-1,-1,UNKNOWN,UNKNOWN,0.0,0.0,0.0,-1,UNKNOWN,1201,0,0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,,,0,0,0,,,,0,0,A,0,0,0,0
final_redundant_0002,MEMORY,stuck_bit,permanent,0,0,18700,0,final_redundant_family_0,final-unseen,final_redundant_profile_0002,static_target,7600211,120000,0.015:0:13100,1,781b0e10235a5380b6dd5a4b57c10dfebf84ca4ac5b126884b795945d9ac9995,9600235,none,0,-0.039,0.085,0,0,3dd085925e1d22ff28b2dea481fbb6945f2d22d05ad13133ab752d1d83b282a2,0,-1,-1,38700,19000,0.001850128173828125,e931c7c131cd930a5815c1367a64ae3511b9915680314fcf7cf1b13800452d0e,fe2f231ba1b4cfd1272b631ec20d12627fbc1aea36ce9188e8063dbb82b0c446,Weighted Sum,-1,-1,UNKNOWN,UNKNOWN,0.0,0.0,0.0,-1,UNKNOWN,1201,0,0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,,,0,0,0,,,,0,0,A,0,0,0,0
final_redundant_0002,MEMORY,stuck_bit,permanent,0,0,18700,0,final_redundant_family_0,final-unseen,final_redundant_profile_0002,static_target,7600211,120000,0.015:0:13100,1,781b0e10235a5380b6dd5a4b57c10dfebf84ca4ac5b126884b795945d9ac9995,9600235,none,0,-0.039,0.085,0,0,3dd085925e1d22ff28b2dea481fbb6945f2d22d05ad13133ab752d1d83b282a2,0,-1,-1,38700,19000,0.001850128173828125,e931c7c131cd930a5815c1367a64ae3511b9915680314fcf7cf1b13800452d0e,fe2f231ba1b4cfd1272b631ec20d12627fbc1aea36ce9188e8063dbb82b0c446,Hybrid,-1,-1,UNKNOWN,UNKNOWN,0.0,0.0,0.0,-1,UNKNOWN,1201,0,0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,,,0,0,0,,,,0,0,A,0,0,0,0
final_redundant_0003,MEMORY,stuck_bit,transient,0,1,19400,7600,final_redundant_family_0,final-unseen,final_redundant_profile_0003,authorized_updates,7600312,120000,0.045:0:13100,0,b090b9ad59b596ebe70e1cdec99f570def365e24183c1a9ac601a3909f5c0e5e,9600344,none,0,0.0,0.025,0,0,51096e51efaff829a498e45e92a6deaa76e98bc2cd9f267bb6e6ea3da412858c,1,19400,-1,38700,19400,0.03588104248046875,a607576a651e8cecdd210fcd66cf846b80bf93ff7914f0ca823a62a7e3f57ac1,ad641cd67b86bbd83eb26f907ee7f5bc92b49c6ef36e570cba18506794e47bf3,Revised CLO-DSF,19400,19400,MEMORY,MEMORY,1.0,1.0,0.0,19400,MEMORY,1201,79,0,0.932465563679,0.932465563679,0.0,9.71777124698e-17,0,0,0,0,79,0,0,0,0,1,1,0,0,0,1,1,1,19500,19400,19400,0,0,,1,0,0,1
final_redundant_0003,MEMORY,stuck_bit,transient,0,1,19400,7600,final_redundant_family_0,final-unseen,final_redundant_profile_0003,authorized_updates,7600312,120000,0.045:0:13100,0,b090b9ad59b596ebe70e1cdec99f570def365e24183c1a9ac601a3909f5c0e5e,9600344,none,0,0.0,0.025,0,0,51096e51efaff829a498e45e92a6deaa76e98bc2cd9f267bb6e6ea3da412858c,1,19400,-1,38700,19400,0.03588104248046875,a607576a651e8cecdd210fcd66cf846b80bf93ff7914f0ca823a62a7e3f57ac1,ad641cd67b86bbd83eb26f907ee7f5bc92b49c6ef36e570cba18506794e47bf3,Pre-change CLO-DSF,19400,19400,MEMORY,MEMORY,1.0,1.0,0.0,19400,MEMORY,1201,79,0,0.932465563679,0.932465563679,0.0,9.71777124698e-17,0,0,0,0,79,0,0,0,0,1,1,0,0,0,1,1,1,19500,19400,19400,0,0,,1,0,0,1
