endpoint,numerator,denominator,ci_low,ci_high
detection,1047,1200,0.852433011333717,0.8901896932172456
plant_detection,874,964,0.8866247890540601,0.9234252381015206
benign_alarms,0,300,8.673617379884035e-19,0.012642971224546034
first_accuracy,1047,1047,0.9963443973508572,1
runtime_accuracy,369298,369298,0.99998959805127,0.9999999999999999
