experiment_id,campaign_id,campaign_label,campaign_category,campaign_event_count,campaign_ambient_offset_c,campaign_engine_load_scale,campaign_heat_generation_bias,campaign_ram_air_scale,tick,time_ms,time_s,phase_id,phase_label,active_event_index,active_fault_start_ms,active_fault_duration_ms,active_fault_parameter,fault_mode_id,fault_mode_label,fault_behavior_id,fault_behavior_label,safe_state_id,safe_state_label,requested_safe_state_id,requested_safe_state_label,primary_dtc_id,primary_dtc_label,primary_dtc_class,ambient_temp_c,engine_speed_rpm,engine_load,vehicle_speed_kph,coolant_temp_true_c,coolant_temp_meas_c,coolant_sensor_residual_c,radiator_temp_true_c,radiator_temp_meas_c,pump_command,pump_actual,pump_tracking_error,fan_command,fan_actual,fan_tracking_error,overtemp_warning,overtemp_critical,coolant_sensor_fault,cooling_performance_low,pump_tracking_fault,fan_tracking_fault,coolant_sensor_fail_count,pump_fail_count,fan_fail_count,cooling_perf_fail_count,safe_state_transitions,max_cooling_active,torque_derate_active,shutdown_requested,campaign_event_1_mode_id,campaign_event_1_mode_label,campaign_event_1_behavior_id,campaign_event_1_behavior_label,campaign_event_1_start_ms,campaign_event_1_duration_ms,campaign_event_1_parameter,campaign_event_2_mode_id,campaign_event_2_mode_label,campaign_event_2_behavior_id,campaign_event_2_behavior_label,campaign_event_2_start_ms,campaign_event_2_duration_ms,campaign_event_2_parameter,campaign_event_3_mode_id,campaign_event_3_mode_label,campaign_event_3_behavior_id,campaign_event_3_behavior_label,campaign_event_3_start_ms,campaign_event_3_duration_ms,campaign_event_3_parameter,campaign_event_4_mode_id,campaign_event_4_mode_label,campaign_event_4_behavior_id,campaign_event_4_behavior_label,campaign_event_4_start_ms,campaign_event_4_duration_ms,campaign_event_4_parameter
"fan_stuck_hot_stress","fan_stuck_hot_stress","Stuck-off fan power-stage fault under thermally stressful conditions","actuation_path_fault_stress",1,7.00,1.100,2.200,0.700,1005,100500,100.500,3,"hot_idle",0,78100,41900,0.000,5,"fan_stuck_off",2,"permanent",2,"limp_home",2,"limp_home",3003,"fan_tracking_fault","permanent",42.00,2100.00,0.755,0.00,102.10,102.10,0.00,75.06,75.06,1.000,1.000,0.000,1.000,0.000,1.000,0,0,0,1,0,1,0,0,64,2,2,1,1,0,5,"fan_stuck_off",2,"permanent",78100,41900,0.000,0,"none",0,"none",0,0,0.000,0,"none",0,"none",0,0,0.000,0,"none",0,"none",0,0,0.000
"fan_stuck_hot_stress","fan_stuck_hot_stress","Stuck-off fan power-stage fault under thermally stressful conditions","actuation_path_fault_stress",1,7.00,1.100,2.200,0.700,1006,100600,100.600,3,"hot_idle",0,78100,41900,0.000,5,"fan_stuck_off",2,"permanent",2,"limp_home",2,"limp_home",3003,"fan_tracking_fault","permanent",42.00,2100.00,0.755,0.00,102.23,102.23,0.00,75.13,75.13,1.000,1.000,0.000,1.000,0.000,1.000,0,0,0,1,0,1,0,0,64,2,2,1,1,0,5,"fan_stuck_off",2,"permanent",78100,41900,0.000,0,"none",0,"none",0,0,0.000,0,"none",0,"none",0,0,0.000,0,"none",0,"none",0,0,0.000
"fan_stuck_hot_stress","fan_stuck_hot_stress","Stuck-off fan power-stage fault under thermally stressful conditions","actuation_path_fault_stress",1,7.00,1.100,2.200,0.700,1007,100700,100.700,3,"hot_idle",0,78100,41900,0.000,5,"fan_stuck_off",2,"permanent",2,"limp_home",2,"limp_home",3003,"fan_tracking_fault","permanent",42.00,2100.00,0.755,0.00,102.35,102.35,0.00,75.19,75.19,1.000,1.000,0.000,1.000,0.000,1.000,0,0,0,1,0,1,0,0,64,2,2,1,1,0,5,"fan_stuck_off",2,"permanent",78100,41900,0.000,0,"none",0,"none",0,0,0.000,0,"none",0,"none",0,0,0.000,0,"none",0,"none",0,0,0.000
"fan_stuck_hot_stress","fan_stuck_hot_stress","Stuck-off fan power-stage fault under thermally stressful conditions","actuation_path_fault_stress",1,7.00,1.100,2.200,0.700,1008,100800,100.800,3,"hot_idle",0,78100,41900,0.000,5,"fan_stuck_off",2,"permanent",2,"limp_home",2,"limp_home",3003,"fan_tracking_fault","permanent",42.00,2100.00,0.755,0.00,102.48,102.48,0.00,75.26,75.26,1.000,1.000,0.000,1.000,0.000,1.000,0,0,0,1,0,1,0,0,64,2,2,1,1,0,5,"fan_stuck_off",2,"permanent",78100,41900,0.000,0,"none",0,"none",0,0,0.000,0,"none",0,"none",0,0,0.000,0,"none",0,"none",0,0,0.000
"fan_stuck_hot_stress","fan_stuck_hot_stress","Stuck-off fan power-stage fault under thermally stressful conditions","actuation_path_fault_stress",1,7.00,1.100,2.200,0.700,1009,100900,100.900,3,"hot_idle",0,78100,41900,0.000,5,"fan_stuck_off",2,"permanent",2,"limp_home",2,"limp_home",3003,"fan_tracking_fault","permanent",42.00,2100.00,0.755,0.00,102.60,102.60,0.00,75.33,75.33,1.000,1.000,0.000,1.000,0.000,1.000,0,0,0,1,0,1,0,0,64,2,2,1,1,0,5,"fan_stuck_off",2,"permanent",78100,41900,0.000,0,"none",0,"none",0,0,0.000,0,"none",0,"none",0,0,0.000,0,"none",0,"none",0,0,0.000
"fan_stuck_hot_stress","fan_stuck_hot_stress","Stuck-off fan power-stage fault under thermally stressful conditions","actuation_path_fault_stress",1,7.00,1.100,2.200,0.700,1010,101000,101.000,3,"hot_idle",0,78100,41900,0.000,5,"fan_stuck_off",2,"permanent",2,"limp_home",2,"limp_home",3003,"fan_tracking_fault","permanent",42.00,2100.00,0.755,0.00,102.72,102.72,0.00,75.40,75.40,1.000,1.000,0.000,1.000,0.000,1.000,0,0,0,1,0,1,0,0,66,4,2,1,1,0,5,"fan_stuck_off",2,"permanent",78100,41900,0.000,0,"none",0,"none",0,0,0.000,0,"none",0,"none",0,0,0.000,0,"none",0,"none",0,0,0.000
"fan_stuck_hot_stress","fan_stuck_hot_stress","Stuck-off fan power-stage fault under thermally stressful conditions","actuation_path_fault_stress",1,7.00,1.100,2.200,0.700,1011,101100,101.100,3,"hot_idle",0,78100,41900,0.000,5,"fan_stuck_off",2,"permanent",2,"limp_home",2,"limp_home",3003,"fan_tracking_fault","permanent",42.00,2100.00,0.755,0.00,102.84,102.84,0.00,75.46,75.46,1.000,1.000,0.000,1.000,0.000,1.000,0,0,0,1,0,1,0,0,66,4,2,1,1,0,5,"fan_stuck_off",2,"permanent",78100,41900,0.000,0,"none",0,"none",0,0,0.000,0,"none",0,"none",0,0,0.000,0,"none",0,"none",0,0,0.000
"fan_stuck_hot_stress","fan_stuck_hot_stress","Stuck-off fan power-stage fault under thermally stressful conditions","actuation_path_fault_stress",1,7.00,1.100,2.200,0.700,1012,101200,101.200,3,"hot_idle",0,78100,41900,0.000,5,"fan_stuck_off",2,"permanent",2,"limp_home",2,"limp_home",3003,"fan_tracking_fault","permanent",42.00,2100.00,0.755,0.00,102.96,102.96,0.00,75.53,75.53,1.000,1.000,0.000,1.000,0.000,1.000,0,0,0,1,0,1,0,0,66,4,2,1,1,0,5,"fan_stuck_off",2,"permanent",78100,41900,0.000,0,"none",0,"none",0,0,0.000,0,"none",0,"none",0,0,0.000,0,"none",0,"none",0,0,0.000
"fan_stuck_hot_stress","fan_stuck_hot_stress","Stuck-off fan power-stage fault under thermally stressful conditions","actuation_path_fault_stress",1,7.00,1.100,2.200,0.700,1013,101300,101.300,3,"hot_idle",0,78100,41900,0.000,5,"fan_stuck_off",2,"permanent",2,"limp_home",2,"limp_home",3003,"fan_tracking_fault","permanent",42.00,2100.00,0.755,0.00,103.08,103.08,0.00,75.60,75.60,1.000,1.000,0.000,1.000,0.000,1.000,0,0,0,1,0,1,0,0,66,4,2,1,1,0,5,"fan_stuck_off",2,"permanent",78100,41900,0.000,0,"none",0,"none",0,0,0.000,0,"none",0,"none",0,0,0.000,0,"none",0,"none",0,0,0.000
"fan_stuck_hot_stress","fan_stuck_hot_stress","Stuck-off fan power-stage fault under thermally stressful conditions","actuation_path_fault_stress",1,7.00,1.100,2.200,0.700,1014,101400,101.400,3,"hot_idle",0,78100,41900,0.000,5,"fan_stuck_off",2,"permanent",2,"limp_home",2,"limp_home",3003,"fan_tracking_fault","permanent",42.00,2100.00,0.755,0.00,103.20,103.20,0.00,75.66,75.66,1.000,1.000,0.000,1.000,0.000,1.000,0,0,0,1,0,1,0,0,66,4,2,1,1,0,5,"fan_stuck_off",2,"permanent",78100,41900,0.000,0,"none",0,"none",0,0,0.000,0,"none",0,"none",0,0,0.000,0,"none",0,"none",0,0,0.000
