run_id,fit_samples,free_prediction_max_error_c
contract_benign_0000,120,1.4663997600727185
contract_benign_0001,120,1.3175928208547845
contract_benign_0002,120,0.9455496080594514
contract_benign_0003,120,0.7027195939104587
contract_benign_0004,120,1.996748231932088
contract_benign_0005,120,4.3848805188213476
contract_benign_0006,120,1.0045972943549515
contract_benign_0007,120,0.7492829736004438
contract_benign_0008,120,0.7864869734362259
contract_benign_0009,120,1.2638852209871914
contract_benign_0010,120,2.148889354463961
contract_benign_0011,120,4.181441576529096
contract_benign_0012,120,0.7181601917860831
contract_benign_0013,120,0.7862461842385358
contract_benign_0014,120,0.9052091805902904
contract_benign_0015,120,1.2530897182444534
contract_benign_0016,120,1.8844105691800905
contract_benign_0017,120,4.014939836249923
contract_benign_0018,120,0.5418372603891868
contract_benign_0019,120,1.6488020285845977
contract_benign_0020,120,0.7370433739316269
contract_benign_0021,120,0.7148011748882936
contract_benign_0022,120,1.9252790570244969
contract_benign_0023,120,4.168471802034503
contract_benign_0024,120,1.3948008581012914
contract_benign_0025,120,1.6809798385421715
contract_benign_0026,120,1.388224163553815
contract_benign_0027,120,1.1765968778653644
contract_benign_0028,120,2.035033029502941
contract_benign_0029,120,3.9688528518672683
contract_benign_0030,120,1.4523061832271082
contract_benign_0031,120,1.3081265852798794
contract_benign_0032,120,0.933713703714659
contract_benign_0033,120,0.7121379498040739
contract_benign_0034,120,2.023193664130403
contract_benign_0035,120,4.3747315673254406
contract_benign_0036,120,0.9916482114218894
contract_benign_0037,120,0.7386776991481128
contract_benign_0038,120,0.7893629765975732
contract_benign_0039,120,1.1172766202046063
contract_benign_0040,120,2.233543234258036
contract_benign_0041,120,4.171325340047147
contract_benign_0042,120,0.6381188448693962
contract_benign_0043,120,0.8020706345935196
contract_benign_0044,120,0.7288317128480912
contract_benign_0045,120,1.242748452639617
contract_benign_0046,120,1.8891995348770934
contract_benign_0047,120,3.998683253322781
contract_benign_0048,120,0.5747536177251646
contract_benign_0049,120,1.4913499259329228
contract_benign_0050,120,2.1386215100829844
contract_benign_0051,120,1.6083417368249826
contract_benign_0052,120,2.301295438355268
contract_benign_0053,120,4.180866911731002
contract_benign_0054,120,0.9592032244097766
contract_benign_0055,120,1.7124571006198153
contract_benign_0056,120,1.4098225557557527
contract_benign_0057,120,1.2028210969863409
contract_benign_0058,120,2.0615719771844994
contract_benign_0059,120,3.947007211378974
contract_benign_0060,120,1.4733943037043673
contract_benign_0061,120,1.3309579211738907
contract_benign_0062,120,0.9562342590093778
contract_benign_0063,120,0.7234251583391114
contract_benign_0064,120,2.054842004807412
contract_benign_0065,120,4.389336670726792
contract_benign_0066,120,1.0136153136034949
contract_benign_0067,120,0.7618881362982819
contract_benign_0068,120,0.8038758016950709
contract_benign_0069,120,0.9026327656481357
contract_benign_0070,120,2.3552607239778354
contract_benign_0071,120,4.17159067886908
contract_benign_0072,120,0.5816315834145058
contract_benign_0073,120,0.8397829907365661
contract_benign_0074,120,0.48208394089760986
contract_benign_0075,120,2.6769316818781803
contract_benign_0076,120,3.1193805027732395
contract_benign_0077,120,4.367001629612744
contract_benign_0078,120,1.2454393411953504
contract_benign_0079,120,0.8733155568826589
contract_benign_0080,120,2.1806968537113534
contract_benign_0081,120,1.6295830404491056
contract_benign_0082,120,2.3278942669741127
contract_benign_0083,120,4.18110304151547
contract_benign_0084,120,0.8790328885160648
contract_benign_0085,120,1.7454248968175534
contract_benign_0086,120,1.431421946606065
contract_benign_0087,120,1.2290749956193991
contract_benign_0088,120,2.088184400860115
contract_benign_0089,120,3.9369647148484574
contract_benign_0090,120,1.494546764057958
contract_benign_0091,120,1.3431257512187642
contract_benign_0092,120,0.9788221340361076
contract_benign_0093,120,0.7431215975300063
contract_benign_0094,120,2.0687649413325886
contract_benign_0095,120,4.4021945352772605
contract_benign_0096,120,1.0356775169084926
contract_benign_0097,120,0.7851661436019555
contract_benign_0098,120,0.7019998797478593
contract_benign_0099,120,0.9355663299222527
contract_benign_0100,120,4.4724920634467225
contract_benign_0101,120,4.503417453405575
contract_benign_0102,120,1.6910386042062981
contract_benign_0103,120,1.4274619006773008
contract_benign_0104,120,1.0550367729867105
contract_benign_0105,120,2.632702542064024
contract_benign_0106,120,3.084456017433311
contract_benign_0107,120,4.356022066015072
