partition,method,workload,runs,faulty_runs,benign_runs,detected,coverage,macro_coverage,silent_plant,benign_false_alarms,benign_false_alarm_rate,precision,recall,latency_median_ms,latency_p95_ms,localized,localization_coverage,correct_localizations,wrong_localizations,localization_accuracy,macro_localization_accuracy,accuracy_when_localized,wrong_localization_rate,unknown,unknown_rate,localized_before_plant,preinjection_alarm_runs,propagation_supported_runs,control_effect_runs,coverage_given_control_effect,actuator_effect_runs,coverage_given_actuator_effect,plant_manifestation_runs,coverage_given_plant_manifestation,pre_plant_alarms,same_plant_alarms,post_plant_alarms,mean_anomaly_ignorance,mean_origin_ignorance,mean_detection_conflict,mean_localization_conflict,high_detection_conflict_runs,high_localization_conflict_runs,wrong_localized_runtime_samples,wrong_localized_runtime_cases,detection_ci_low,detection_ci_high
development-train,Revised CLO-DSF,all,492,420,72,372,0.8857142857142857,0.9208333333333333,18,0,0.0,1.0,0.8857142857142857,0.0,4400.0,372,1.0,372,0,1.0,1.0,1.0,0.0,0,0.0,289,0,0,390,0.9538461538461539,386,0.9533678756476683,328,0.9451219512195121,289,12,9,0.8276667637192399,0.8301473987727744,0.0,3.62530470875722e-22,0,0,0,0,0.8517280192864081,0.912708760686709
development-train,Revised CLO-DSF,static_target,246,210,36,172,0.819047619047619,0.8833333333333333,8,0,0.0,1.0,0.819047619047619,0.0,400.0,172,1.0,172,0,1.0,1.0,1.0,0.0,0,0.0,115,0,0,180,0.9555555555555556,180,0.9555555555555556,136,0.9411764705882353,115,6,7,0.835681512450561,0.8379552215065407,0.0,7.241791547522154e-29,0,0,0,0,0.7614001845902536,0.8652322782585846
development-train,Revised CLO-DSF,authorized_updates,246,210,36,200,0.9523809523809523,0.9583333333333334,10,0,0.0,1.0,0.9523809523809523,0.0,5014.9999999999945,200,1.0,200,0,1.0,1.0,1.0,0.0,0,0.0,174,0,0,210,0.9523809523809523,206,0.9514563106796117,192,0.9479166666666666,174,6,2,0.8196520149879187,0.8223395760390081,0.0,7.250608693335285e-22,0,0,0,0,0.914577132446397,0.973931583533299
development-train,Pre-change CLO-DSF,all,492,420,72,372,0.8857142857142857,0.9208333333333333,18,0,0.0,1.0,0.8857142857142857,0.0,4400.0,372,1.0,372,0,1.0,1.0,1.0,0.0,0,0.0,289,0,0,390,0.9538461538461539,386,0.9533678756476683,328,0.9451219512195121,289,12,9,0.8276667637192399,0.8301473987727744,0.0,3.62530470875722e-22,0,0,0,0,0.8517280192864081,0.912708760686709
development-train,Pre-change CLO-DSF,static_target,246,210,36,172,0.819047619047619,0.8833333333333333,8,0,0.0,1.0,0.819047619047619,0.0,400.0,172,1.0,172,0,1.0,1.0,1.0,0.0,0,0.0,115,0,0,180,0.9555555555555556,180,0.9555555555555556,136,0.9411764705882353,115,6,7,0.835681512450561,0.8379552215065407,0.0,7.241791547522154e-29,0,0,0,0,0.7614001845902536,0.8652322782585846
development-train,Pre-change CLO-DSF,authorized_updates,246,210,36,200,0.9523809523809523,0.9583333333333334,10,0,0.0,1.0,0.9523809523809523,0.0,5014.9999999999945,200,1.0,200,0,1.0,1.0,1.0,0.0,0,0.0,174,0,0,210,0.9523809523809523,206,0.9514563106796117,192,0.9479166666666666,174,6,2,0.8196520149879187,0.8223395760390081,0.0,7.250608693335285e-22,0,0,0,0,0.914577132446397,0.973931583533299
development-train,Weighted Sum,all,492,420,72,351,0.8357142857142857,0.8638888888888889,19,36,0.5,0.9069767441860465,0.8357142857142857,0.0,5000.0,0,0.0,0,0,0.0,0.0,,0.0,351,1.0,0,0,0,390,0.9,386,0.8989637305699482,328,0.9420731707317073,285,0,24,1.0,1.0,0.0,0.0,0,0,0,0,0.7972649157032984,0.868078207606637
development-train,Weighted Sum,static_target,246,210,36,141,0.6714285714285714,0.7277777777777777,19,0,0.0,1.0,0.6714285714285714,0.0,200.0,0,0.0,0,0,0.0,0.0,,0.0,141,1.0,0,0,0,180,0.7833333333333333,180,0.7833333333333333,136,0.8602941176470589,111,0,6,1.0,1.0,0.0,0.0,0,0,0,0,0.6053206674935512,0.731377372246123
development-train,Weighted Sum,authorized_updates,246,210,36,210,1.0,1.0,0,36,1.0,0.8536585365853658,1.0,0.0,5300.0,0,0.0,0,0,0.0,0.0,,0.0,210,1.0,0,0,0,210,1.0,206,1.0,192,1.0,174,0,18,1.0,1.0,0.0,0.0,0,0,0,0,0.9820359492407167,1
development-validation,Revised CLO-DSF,all,246,210,36,187,0.8904761904761904,0.925,8,0,0.0,1.0,0.8904761904761904,0.0,4609.999999999996,187,1.0,187,0,1.0,1.0,1.0,0.0,0,0.0,148,0,0,195,0.958974358974359,195,0.958974358974359,169,0.9526627218934911,148,6,7,0.8270903649709268,0.8294706385993821,0.0,8.359605419363747e-07,0,0,0,0,0.8410210175570534,0.9259022951833158
development-validation,Revised CLO-DSF,static_target,123,105,18,86,0.819047619047619,0.8833333333333333,4,0,0.0,1.0,0.819047619047619,0.0,375.0,86,1.0,86,0,1.0,1.0,1.0,0.0,0,0.0,58,0,0,90,0.9555555555555556,90,0.9555555555555556,67,0.9402985074626866,58,3,2,0.8360601264129431,0.8382942501136341,0.0,1.5316847383076016e-13,0,0,0,0,0.7345909190245711,0.8809833366492349
development-validation,Revised CLO-DSF,authorized_updates,123,105,18,101,0.9619047619047619,0.9666666666666667,4,0,0.0,1.0,0.9619047619047619,0.0,5300.0,101,1.0,101,0,1.0,1.0,1.0,0.0,0,0.0,90,0,0,105,0.9619047619047619,105,0.9619047619047619,102,0.9607843137254902,90,3,5,0.8181206035289106,0.82064702708513,0.0,1.6719209307042756e-06,0,0,0,0,0.9061169787394538,0.9850875406688924
development-validation,Pre-change CLO-DSF,all,246,210,36,187,0.8904761904761904,0.925,8,0,0.0,1.0,0.8904761904761904,0.0,4609.999999999996,187,1.0,187,0,1.0,1.0,1.0,0.0,0,0.0,148,0,0,195,0.958974358974359,195,0.958974358974359,169,0.9526627218934911,148,6,7,0.8270903649709268,0.8294706385993821,0.0,8.359605419363747e-07,0,0,0,0,0.8410210175570534,0.9259022951833158
development-validation,Pre-change CLO-DSF,static_target,123,105,18,86,0.819047619047619,0.8833333333333333,4,0,0.0,1.0,0.819047619047619,0.0,375.0,86,1.0,86,0,1.0,1.0,1.0,0.0,0,0.0,58,0,0,90,0.9555555555555556,90,0.9555555555555556,67,0.9402985074626866,58,3,2,0.8360601264129431,0.8382942501136341,0.0,1.5316847383076016e-13,0,0,0,0,0.7345909190245711,0.8809833366492349
development-validation,Pre-change CLO-DSF,authorized_updates,123,105,18,101,0.9619047619047619,0.9666666666666667,4,0,0.0,1.0,0.9619047619047619,0.0,5300.0,101,1.0,101,0,1.0,1.0,1.0,0.0,0,0.0,90,0,0,105,0.9619047619047619,105,0.9619047619047619,102,0.9607843137254902,90,3,5,0.8181206035289106,0.82064702708513,0.0,1.6719209307042756e-06,0,0,0,0,0.9061169787394538,0.9850875406688924
development-validation,Weighted Sum,all,246,210,36,177,0.8428571428571429,0.8763888888888889,9,18,0.5,0.9076923076923077,0.8428571428571429,0.0,5000.0,0,0.0,0,0,0.0,0.0,,0.0,177,1.0,0,0,0,195,0.9076923076923077,195,0.9076923076923077,169,0.9467455621301775,148,0,12,1.0,1.0,0.0,0.0,0,0,0,0,0.787532454788261,0.8858636246910876
development-validation,Weighted Sum,static_target,123,105,18,72,0.6857142857142857,0.7527777777777778,9,0,0.0,1.0,0.6857142857142857,0.0,200.0,0,0.0,0,0,0.0,0.0,,0.0,72,1.0,0,0,0,90,0.8,90,0.8,67,0.8656716417910447,55,0,3,1.0,1.0,0.0,0.0,0,0,0,0,0.591699985341149,0.7666193575137531
development-validation,Weighted Sum,authorized_updates,123,105,18,105,1.0,1.0,0,18,1.0,0.8536585365853658,1.0,0.0,5300.0,0,0.0,0,0,0.0,0.0,,0.0,105,1.0,0,0,0,105,1.0,105,1.0,102,1.0,93,0,9,1.0,1.0,0.0,0.0,0,0,0,0,0.9647059230708901,1
