run_id,origin,model,behavior,magnitude,stuck_polarity,start_ms,duration_ms,group,partition,profile,workload,seed,simulation_duration_ms,sensor_variation,sensor_ramp_rise_ms,initially_latent_stuck,profile_semantic_sha256,anchor_status,reference_seed,reference_offset,reference_noise,sensor_chain,benign_reference_transient,on_ms,off_ms,configuration_sha256,effective_memory_corruption,first_integrity_mismatch_ms,first_consumption_mismatch_ms,first_sensor_residual_ms,first_positive_feature_ms,max_sensor_strength,raw_sha256,runtime_trace_sha256,method,first_alarm_ms,first_post_alarm_ms,origin_at_alarm,leading_at_alarm,origin_score_at_alarm,origin_margin_at_alarm,origin_ignorance_at_alarm,first_localization_ms,first_origin,samples,alarm_samples,pre_alarm_samples,mean_anomaly_ignorance,mean_origin_ignorance,mean_detection_conflict,mean_localization_conflict,high_detection_conflict_samples,high_localization_conflict_samples,propagation_samples,alarm_UNKNOWN,alarm_MEMORY,alarm_TIMING,alarm_COMMUNICATION,alarm_SENSOR_CONTROL,alarm_ACTUATOR,injected,detected,false_alarm,latency_ms,integrity_latency_ms,control_effect,actuator_effect,plant_manifestation,propagation_plant_ms,propagation_control_ms,propagation_actuator_command_ms,silent_plant,wrong_localized_runtime_samples,miss_category,localized_correct,unknown_at_alarm,localized_wrong,localization_before_plant
tractable_0002,MEMORY,stuck_bit,transient,0,1,24100,9200,tractable_family_0,development-train,tractable_profile_0002,static_target,5600106,120000,0:0:11800,0,0,3d357213d88079793f578b4f11e7e7a50997f883c60826a3847669e8c2d0038f,not_applicable,940172,0.0,0.095,none,none,600,1400,aaff64917ac4c5d04d70de2d54e2a35841eb364fa12b30b005d5dc22b925653c,1,24100,-1,67300,24100,0.01892852783203125,ae5ece23d1802489bcf0fbc7d40074a8a1d246cd0aa793d694415e4f2efec413,1aca56c4aa97380b1c5ae88a77e68bfa0a445aa700fc168e10a3ac3365c50813,A4,24100,24100,MEMORY,MEMORY,1.0,1.0,0.0,24100,MEMORY,1201,95,0,0.919383799266,0.919383799266,0.0,1.18230896157e-27,0,0,0,0,95,0,0,0,0,1,1,0,0,0,1,1,1,24200,24100,24100,0,0,,1,0,0,1
tractable_0002,MEMORY,stuck_bit,transient,0,1,24100,9200,tractable_family_0,development-train,tractable_profile_0002,static_target,5600106,120000,0:0:11800,0,0,3d357213d88079793f578b4f11e7e7a50997f883c60826a3847669e8c2d0038f,not_applicable,940172,0.0,0.095,none,none,600,1400,aaff64917ac4c5d04d70de2d54e2a35841eb364fa12b30b005d5dc22b925653c,1,24100,-1,67300,24100,0.01892852783203125,ae5ece23d1802489bcf0fbc7d40074a8a1d246cd0aa793d694415e4f2efec413,1aca56c4aa97380b1c5ae88a77e68bfa0a445aa700fc168e10a3ac3365c50813,A0,24100,24100,MEMORY,MEMORY,1.0,1.0,0.0,24100,MEMORY,1201,102,0,0.913555322996,0.913555322996,0.0,1.18230896163e-27,0,0,0,0,102,0,0,0,0,1,1,0,0,0,1,1,1,24200,24100,24100,0,0,,1,0,0,1
tractable_0002,MEMORY,stuck_bit,transient,0,1,24100,9200,tractable_family_0,development-train,tractable_profile_0002,static_target,5600106,120000,0:0:11800,0,0,3d357213d88079793f578b4f11e7e7a50997f883c60826a3847669e8c2d0038f,not_applicable,940172,0.0,0.095,none,none,600,1400,aaff64917ac4c5d04d70de2d54e2a35841eb364fa12b30b005d5dc22b925653c,1,24100,-1,67300,24100,0.01892852783203125,ae5ece23d1802489bcf0fbc7d40074a8a1d246cd0aa793d694415e4f2efec413,1aca56c4aa97380b1c5ae88a77e68bfa0a445aa700fc168e10a3ac3365c50813,A1,24100,24100,MEMORY,MEMORY,1.0,1.0,0.0,24100,MEMORY,1201,95,0,0.919383799266,0.919383799266,0.0,1.18230896157e-27,0,0,0,0,95,0,0,0,0,1,1,0,0,0,1,1,1,24200,24100,24100,0,0,,1,0,0,1
tractable_0002,MEMORY,stuck_bit,transient,0,1,24100,9200,tractable_family_0,development-train,tractable_profile_0002,static_target,5600106,120000,0:0:11800,0,0,3d357213d88079793f578b4f11e7e7a50997f883c60826a3847669e8c2d0038f,not_applicable,940172,0.0,0.095,none,none,600,1400,aaff64917ac4c5d04d70de2d54e2a35841eb364fa12b30b005d5dc22b925653c,1,24100,-1,67300,24100,0.01892852783203125,ae5ece23d1802489bcf0fbc7d40074a8a1d246cd0aa793d694415e4f2efec413,1aca56c4aa97380b1c5ae88a77e68bfa0a445aa700fc168e10a3ac3365c50813,A2,24100,24100,MEMORY,MEMORY,1.0,1.0,0.0,24100,MEMORY,1201,102,0,0.913555322996,0.913555322996,0.0,1.18230896163e-27,0,0,0,0,102,0,0,0,0,1,1,0,0,0,1,1,1,24200,24100,24100,0,0,,1,0,0,1
tractable_0002,MEMORY,stuck_bit,transient,0,1,24100,9200,tractable_family_0,development-train,tractable_profile_0002,static_target,5600106,120000,0:0:11800,0,0,3d357213d88079793f578b4f11e7e7a50997f883c60826a3847669e8c2d0038f,not_applicable,940172,0.0,0.095,none,none,600,1400,aaff64917ac4c5d04d70de2d54e2a35841eb364fa12b30b005d5dc22b925653c,1,24100,-1,67300,24100,0.01892852783203125,ae5ece23d1802489bcf0fbc7d40074a8a1d246cd0aa793d694415e4f2efec413,1aca56c4aa97380b1c5ae88a77e68bfa0a445aa700fc168e10a3ac3365c50813,A3,24100,24100,MEMORY,MEMORY,1.0,1.0,0.0,24100,MEMORY,1201,102,0,0.913555322996,0.913555322996,0.0,1.18230896163e-27,0,0,0,0,102,0,0,0,0,1,1,0,0,0,1,1,1,24200,24100,24100,0,0,,1,0,0,1
tractable_0003,MEMORY,stuck_bit,intermittent,0,1,26200,4100,tractable_family_0,development-train,tractable_profile_0003,authorized_updates,5600149,120000,0:0:11800,0,0,de5b78379a8f8ab18da50da159f4e5ad89e7939d4a581b4e34db9b831d263d6e,not_applicable,940251,0.047,0.035,none,none,600,1400,2f82e05a71ed1b9077cc223ce265ea40988cfa38569d7a605cb631457d45a367,1,26200,-1,67300,26200,0.008106231689453125,59c7d120bfd1ae4d147a82c969a357617389cc977a5d090bb3ce2ec3e40df63d,c10c035f6fe59fd8c3c42d1f2005bdc84761210a1ff16a948534af7b552ba820,A4,26200,26200,MEMORY,MEMORY,1.0,1.0,0.0,26200,MEMORY,1201,31,0,0.972178349269,0.972178349269,0.0,1.0883835273e-29,0,0,0,0,31,0,0,0,0,1,1,0,0,0,1,1,1,26300,26200,26200,0,0,,1,0,0,1
tractable_0003,MEMORY,stuck_bit,intermittent,0,1,26200,4100,tractable_family_0,development-train,tractable_profile_0003,authorized_updates,5600149,120000,0:0:11800,0,0,de5b78379a8f8ab18da50da159f4e5ad89e7939d4a581b4e34db9b831d263d6e,not_applicable,940251,0.047,0.035,none,none,600,1400,2f82e05a71ed1b9077cc223ce265ea40988cfa38569d7a605cb631457d45a367,1,26200,-1,67300,26200,0.008106231689453125,59c7d120bfd1ae4d147a82c969a357617389cc977a5d090bb3ce2ec3e40df63d,c10c035f6fe59fd8c3c42d1f2005bdc84761210a1ff16a948534af7b552ba820,A0,26200,26200,MEMORY,MEMORY,1.0,1.0,0.0,26200,MEMORY,1201,22,0,0.978727226754,0.978727226754,0.0,1.0883835273e-29,0,0,0,0,22,0,0,0,0,1,1,0,0,0,1,1,1,26300,26200,26200,0,0,,1,0,0,1
tractable_0003,MEMORY,stuck_bit,intermittent,0,1,26200,4100,tractable_family_0,development-train,tractable_profile_0003,authorized_updates,5600149,120000,0:0:11800,0,0,de5b78379a8f8ab18da50da159f4e5ad89e7939d4a581b4e34db9b831d263d6e,not_applicable,940251,0.047,0.035,none,none,600,1400,2f82e05a71ed1b9077cc223ce265ea40988cfa38569d7a605cb631457d45a367,1,26200,-1,67300,26200,0.008106231689453125,59c7d120bfd1ae4d147a82c969a357617389cc977a5d090bb3ce2ec3e40df63d,c10c035f6fe59fd8c3c42d1f2005bdc84761210a1ff16a948534af7b552ba820,A1,26200,26200,MEMORY,MEMORY,1.0,1.0,0.0,26200,MEMORY,1201,31,0,0.972178349269,0.972178349269,0.0,1.0883835273e-29,0,0,0,0,31,0,0,0,0,1,1,0,0,0,1,1,1,26300,26200,26200,0,0,,1,0,0,1
tractable_0003,MEMORY,stuck_bit,intermittent,0,1,26200,4100,tractable_family_0,development-train,tractable_profile_0003,authorized_updates,5600149,120000,0:0:11800,0,0,de5b78379a8f8ab18da50da159f4e5ad89e7939d4a581b4e34db9b831d263d6e,not_applicable,940251,0.047,0.035,none,none,600,1400,2f82e05a71ed1b9077cc223ce265ea40988cfa38569d7a605cb631457d45a367,1,26200,-1,67300,26200,0.008106231689453125,59c7d120bfd1ae4d147a82c969a357617389cc977a5d090bb3ce2ec3e40df63d,c10c035f6fe59fd8c3c42d1f2005bdc84761210a1ff16a948534af7b552ba820,A2,26200,26200,MEMORY,MEMORY,1.0,1.0,0.0,26200,MEMORY,1201,22,0,0.978727226754,0.978727226754,0.0,1.0883835273e-29,0,0,0,0,22,0,0,0,0,1,1,0,0,0,1,1,1,26300,26200,26200,0,0,,1,0,0,1
tractable_0003,MEMORY,stuck_bit,intermittent,0,1,26200,4100,tractable_family_0,development-train,tractable_profile_0003,authorized_updates,5600149,120000,0:0:11800,0,0,de5b78379a8f8ab18da50da159f4e5ad89e7939d4a581b4e34db9b831d263d6e,not_applicable,940251,0.047,0.035,none,none,600,1400,2f82e05a71ed1b9077cc223ce265ea40988cfa38569d7a605cb631457d45a367,1,26200,-1,67300,26200,0.008106231689453125,59c7d120bfd1ae4d147a82c969a357617389cc977a5d090bb3ce2ec3e40df63d,c10c035f6fe59fd8c3c42d1f2005bdc84761210a1ff16a948534af7b552ba820,A3,26200,26200,MEMORY,MEMORY,1.0,1.0,0.0,26200,MEMORY,1201,22,0,0.978727226754,0.978727226754,0.0,1.0883835273e-29,0,0,0,0,22,0,0,0,0,1,1,0,0,0,1,1,1,26300,26200,26200,0,0,,1,0,0,1
tractable_0004,MEMORY,stuck_bit,transient,1,0,28100,4600,tractable_family_0,development-train,tractable_profile_0004,static_target,5600192,120000,0:0:11800,0,1,c945dcc1e2559b129bab009f8404d350a42589237e1c40b013f6f3f20d09d63a,not_applicable,940330,0.094,0.065,none,none,600,1400,960c8da1f3cf9f1adfc036b70a4e98b80e39cd87692ae6993cf3c602837808b2,0,-1,-1,67300,28800,0.0189361572265625,d0bca890325bb27db8332ce5d881fcfa38757fc2b673b4b1e7f0ce8627018ada,ff950f77cec7be31a854543e85f965dd89ae37e20089802309ec5af485106e4c,A4,28800,28800,MEMORY,MEMORY,1.0,1.0,0.0,28800,MEMORY,1201,48,0,0.958519335788,0.958519335788,0.0,3.28300806734e-32,0,0,0,0,48,0,0,0,0,1,1,0,700,,0,0,0,,,,0,0,,1,0,0,0
tractable_0004,MEMORY,stuck_bit,transient,1,0,28100,4600,tractable_family_0,development-train,tractable_profile_0004,static_target,5600192,120000,0:0:11800,0,1,c945dcc1e2559b129bab009f8404d350a42589237e1c40b013f6f3f20d09d63a,not_applicable,940330,0.094,0.065,none,none,600,1400,960c8da1f3cf9f1adfc036b70a4e98b80e39cd87692ae6993cf3c602837808b2,0,-1,-1,67300,28800,0.0189361572265625,d0bca890325bb27db8332ce5d881fcfa38757fc2b673b4b1e7f0ce8627018ada,ff950f77cec7be31a854543e85f965dd89ae37e20089802309ec5af485106e4c,A0,29000,29000,MEMORY,MEMORY,1.0,1.0,0.0,29000,MEMORY,1201,43,0,0.962682533123,0.962682533123,0.0,2.10112498169e-32,0,0,0,0,43,0,0,0,0,1,1,0,900,,0,0,0,,,,0,0,,1,0,0,0
tractable_0004,MEMORY,stuck_bit,transient,1,0,28100,4600,tractable_family_0,development-train,tractable_profile_0004,static_target,5600192,120000,0:0:11800,0,1,c945dcc1e2559b129bab009f8404d350a42589237e1c40b013f6f3f20d09d63a,not_applicable,940330,0.094,0.065,none,none,600,1400,960c8da1f3cf9f1adfc036b70a4e98b80e39cd87692ae6993cf3c602837808b2,0,-1,-1,67300,28800,0.0189361572265625,d0bca890325bb27db8332ce5d881fcfa38757fc2b673b4b1e7f0ce8627018ada,ff950f77cec7be31a854543e85f965dd89ae37e20089802309ec5af485106e4c,A1,28800,28800,MEMORY,MEMORY,1.0,1.0,0.0,28800,MEMORY,1201,48,0,0.958519335788,0.958519335788,0.0,3.28300806734e-32,0,0,0,0,48,0,0,0,0,1,1,0,700,,0,0,0,,,,0,0,,1,0,0,0
tractable_0004,MEMORY,stuck_bit,transient,1,0,28100,4600,tractable_family_0,development-train,tractable_profile_0004,static_target,5600192,120000,0:0:11800,0,1,c945dcc1e2559b129bab009f8404d350a42589237e1c40b013f6f3f20d09d63a,not_applicable,940330,0.094,0.065,none,none,600,1400,960c8da1f3cf9f1adfc036b70a4e98b80e39cd87692ae6993cf3c602837808b2,0,-1,-1,67300,28800,0.0189361572265625,d0bca890325bb27db8332ce5d881fcfa38757fc2b673b4b1e7f0ce8627018ada,ff950f77cec7be31a854543e85f965dd89ae37e20089802309ec5af485106e4c,A2,29000,29000,MEMORY,MEMORY,1.0,1.0,0.0,29000,MEMORY,1201,43,0,0.962682533123,0.962682533123,0.0,2.10112498169e-32,0,0,0,0,43,0,0,0,0,1,1,0,900,,0,0,0,,,,0,0,,1,0,0,0
tractable_0004,MEMORY,stuck_bit,transient,1,0,28100,4600,tractable_family_0,development-train,tractable_profile_0004,static_target,5600192,120000,0:0:11800,0,1,c945dcc1e2559b129bab009f8404d350a42589237e1c40b013f6f3f20d09d63a,not_applicable,940330,0.094,0.065,none,none,600,1400,960c8da1f3cf9f1adfc036b70a4e98b80e39cd87692ae6993cf3c602837808b2,0,-1,-1,67300,28800,0.0189361572265625,d0bca890325bb27db8332ce5d881fcfa38757fc2b673b4b1e7f0ce8627018ada,ff950f77cec7be31a854543e85f965dd89ae37e20089802309ec5af485106e4c,A3,29000,29000,MEMORY,MEMORY,1.0,1.0,0.0,29000,MEMORY,1201,43,0,0.962682533123,0.962682533123,0.0,2.10112498169e-32,0,0,0,0,43,0,0,0,0,1,1,0,900,,0,0,0,,,,0,0,,1,0,0,0
tractable_0005,MEMORY,stuck_bit,intermittent,1,0,30200,11300,tractable_family_0,development-train,tractable_profile_0005,authorized_updates,5600235,120000,0:0:11800,0,1,89902bf40a170b87fc4c60c8e5eb8802518ac6503ba8abbf998a6e9d63638e3d,not_applicable,940409,-0.094,0.095,none,none,600,1400,9c84ee2ae39d1bf337e3a5009720d721278816618d11cb1fcf15b7aad901bbcf,0,-1,-1,67300,32200,0.0081024169921875,5ec56f587d60d75de1517333a875d6137af8e9b881f3df8378f810fc00f1e6a5,01534b8b05a445e730fa415b7f10645ca1d1a60de173bf9e0eb3f48ced1da432,A4,32200,32200,MEMORY,MEMORY,1.0,1.0,0.0,32200,MEMORY,1201,42,0,0.962355240747,0.962355240747,0.0,3.33169926911e-34,0,0,0,0,42,0,0,0,0,1,1,0,2000,,0,0,0,,,,0,0,,1,0,0,0
tractable_0005,MEMORY,stuck_bit,intermittent,1,0,30200,11300,tractable_family_0,development-train,tractable_profile_0005,authorized_updates,5600235,120000,0:0:11800,0,1,89902bf40a170b87fc4c60c8e5eb8802518ac6503ba8abbf998a6e9d63638e3d,not_applicable,940409,-0.094,0.095,none,none,600,1400,9c84ee2ae39d1bf337e3a5009720d721278816618d11cb1fcf15b7aad901bbcf,0,-1,-1,67300,32200,0.0081024169921875,5ec56f587d60d75de1517333a875d6137af8e9b881f3df8378f810fc00f1e6a5,01534b8b05a445e730fa415b7f10645ca1d1a60de173bf9e0eb3f48ced1da432,A0,-1,-1,UNKNOWN,UNKNOWN,0.0,0.0,0.0,-1,UNKNOWN,1201,0,0,0.999251831282,0.999251831282,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,,,0,0,0,,,,0,0,A,0,0,0,0
tractable_0005,MEMORY,stuck_bit,intermittent,1,0,30200,11300,tractable_family_0,development-train,tractable_profile_0005,authorized_updates,5600235,120000,0:0:11800,0,1,89902bf40a170b87fc4c60c8e5eb8802518ac6503ba8abbf998a6e9d63638e3d,not_applicable,940409,-0.094,0.095,none,none,600,1400,9c84ee2ae39d1bf337e3a5009720d721278816618d11cb1fcf15b7aad901bbcf,0,-1,-1,67300,32200,0.0081024169921875,5ec56f587d60d75de1517333a875d6137af8e9b881f3df8378f810fc00f1e6a5,01534b8b05a445e730fa415b7f10645ca1d1a60de173bf9e0eb3f48ced1da432,A1,32200,32200,MEMORY,MEMORY,1.0,1.0,0.0,32200,MEMORY,1201,42,0,0.962355240747,0.962355240747,0.0,3.33169926911e-34,0,0,0,0,42,0,0,0,0,1,1,0,2000,,0,0,0,,,,0,0,,1,0,0,0
tractable_0005,MEMORY,stuck_bit,intermittent,1,0,30200,11300,tractable_family_0,development-train,tractable_profile_0005,authorized_updates,5600235,120000,0:0:11800,0,1,89902bf40a170b87fc4c60c8e5eb8802518ac6503ba8abbf998a6e9d63638e3d,not_applicable,940409,-0.094,0.095,none,none,600,1400,9c84ee2ae39d1bf337e3a5009720d721278816618d11cb1fcf15b7aad901bbcf,0,-1,-1,67300,32200,0.0081024169921875,5ec56f587d60d75de1517333a875d6137af8e9b881f3df8378f810fc00f1e6a5,01534b8b05a445e730fa415b7f10645ca1d1a60de173bf9e0eb3f48ced1da432,A2,-1,-1,UNKNOWN,UNKNOWN,0.0,0.0,0.0,-1,UNKNOWN,1201,0,0,0.999251831282,0.999251831282,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,,,0,0,0,,,,0,0,A,0,0,0,0
