partition,method,group,runs,faulty_runs,benign_runs,detected,coverage,macro_coverage,silent_plant,benign_false_alarms,benign_false_alarm_rate,precision,recall,latency_median_ms,latency_p95_ms,localized,localization_coverage,correct_localizations,wrong_localizations,localization_accuracy,macro_localization_accuracy,accuracy_when_localized,wrong_localization_rate,unknown,unknown_rate,localized_before_plant,preinjection_alarm_runs,propagation_supported_runs,control_effect_runs,coverage_given_control_effect,actuator_effect_runs,coverage_given_actuator_effect,plant_manifestation_runs,coverage_given_plant_manifestation,pre_plant_alarms,same_plant_alarms,post_plant_alarms,mean_anomaly_ignorance,mean_origin_ignorance,mean_detection_conflict,mean_localization_conflict,high_detection_conflict_runs,high_localization_conflict_runs
development-train,Revised CLO-DSF,TIMING,120,120,0,120,1.0,1.0,0,0,,1.0,1.0,100.0,100.0,120,1.0,120,0,1.0,1.0,1.0,0.0,0,0.0,97,0,0,120,1.0,120,1.0,97,1.0,97,0,0,0.6890855370865167,0.6890855370865167,0.0,3.441280403500958e-24,0,0
development-train,Revised CLO-DSF,COMMUNICATION,120,120,0,120,1.0,1.0,0,0,,1.0,1.0,0.0,0.0,120,1.0,120,0,1.0,1.0,1.0,0.0,0,0.0,56,0,0,120,1.0,120,1.0,56,1.0,56,0,0,0.763643771756375,0.7637529767888667,0.0,4.6813551672233333e-07,0,0
development-train,Revised CLO-DSF,SENSOR_CONTROL,120,120,0,38,0.31666666666666665,0.31666666666666665,80,0,,1.0,0.31666666666666665,300.0,1114.9999999999998,38,1.0,38,0,1.0,1.0,1.0,0.0,0,0.0,12,0,0,120,0.31666666666666665,120,0.31666666666666665,118,0.3220338983050847,12,7,19,0.9353567269565,0.9353567269565,0.0,0.0,0,0
development-train,Revised CLO-DSF,ACTUATOR,120,120,0,120,1.0,1.0,0,0,,1.0,1.0,0.0,300.0,120,1.0,120,0,1.0,1.0,1.0,0.0,0,0.0,120,0,0,120,1.0,120,1.0,120,1.0,120,0,0,0.652116037195,0.6618094306467083,0.0,2.2003293428236506e-24,0,0
development-train,Weighted Sum,ALL,720,600,120,463,0.7716666666666666,0.7716666666666666,85,60,0.5,0.8852772466539197,0.7716666666666666,100.0,10200.0,0,0.0,0,0,0.0,0.0,,0.0,463,1.0,0,0,0,565,0.8,565,0.8,476,0.8214285714285714,288,0,103,1.0,1.0,0.0,0.0,0,0
development-train,Weighted Sum,MEMORY,120,120,0,95,0.7916666666666666,0.7916666666666666,1,0,,1.0,0.7916666666666666,0.0,10760.0,0,0.0,0,0,0.0,0.0,,0.0,95,1.0,0,0,0,85,0.9882352941176471,85,0.9882352941176471,85,0.9882352941176471,84,0,0,1.0,1.0,0.0,0.0,0,0
development-train,Weighted Sum,TIMING,120,120,0,120,1.0,1.0,0,0,,1.0,1.0,100.0,100.0,0,0.0,0,0,0.0,0.0,,0.0,120,1.0,0,0,0,120,1.0,120,1.0,97,1.0,97,0,0,1.0,1.0,0.0,0.0,0,0
development-train,Weighted Sum,COMMUNICATION,120,120,0,87,0.725,0.725,7,0,,1.0,0.725,200.0,10070.0,0,0.0,0,0,0.0,0.0,,0.0,87,1.0,0,0,0,120,0.725,120,0.725,56,0.875,38,0,11,1.0,1.0,0.0,0.0,0,0
development-train,Weighted Sum,SENSOR_CONTROL,120,120,0,70,0.5833333333333334,0.5833333333333334,48,0,,1.0,0.5833333333333334,8100.0,10955.0,0,0.0,0,0,0.0,0.0,,0.0,70,1.0,0,0,0,120,0.5833333333333334,120,0.5833333333333334,118,0.5932203389830508,12,0,58,1.0,1.0,0.0,0.0,0,0
development-train,Weighted Sum,ACTUATOR,120,120,0,91,0.7583333333333333,0.7583333333333333,29,0,,1.0,0.7583333333333333,200.0,10150.0,0,0.0,0,0,0.0,0.0,,0.0,91,1.0,0,0,0,120,0.7583333333333333,120,0.7583333333333333,120,0.7583333333333333,57,0,34,1.0,1.0,0.0,0.0,0,0
