manifest,sha256,profiles,overlap
results/cross_layer_safety_v8_final_holdout/final_holdout_manifest.csv,883efd805752747cabd795452b758aa8b274ea472c317ba52e7c8361bd4a97c8,305,0
results/clo_dsf_final_unseen/campaign_manifest.csv,be3bd25bf33bb33f1bc54544ea6f070418cb0d93873325c515346b8410468547,1500,0
results/clo_dsf_current/campaign_manifest.csv,58a9539ddf79c161f68013a4fe14ab4f5117e0f018f851b48faa0e9d5b435dfc,1400,0
