run_id,origin,model,behavior,magnitude,stuck_polarity,start_ms,duration_ms,group,partition,profile,workload,seed,simulation_duration_ms,sensor_variation,profile_semantic_sha256,configuration_sha256,initially_latent_stuck,effective_memory_corruption,first_integrity_mismatch_ms,first_consumption_mismatch_ms,first_sensor_residual_ms,first_positive_feature_ms,max_sensor_strength,raw_sha256,runtime_trace_sha256,method,first_alarm_ms,first_post_alarm_ms,origin_at_alarm,leading_at_alarm,origin_score_at_alarm,origin_margin_at_alarm,origin_ignorance_at_alarm,first_localization_ms,first_origin,samples,alarm_samples,pre_alarm_samples,mean_anomaly_ignorance,mean_origin_ignorance,mean_detection_conflict,mean_localization_conflict,high_detection_conflict_samples,high_localization_conflict_samples,propagation_samples,alarm_UNKNOWN,alarm_MEMORY,alarm_TIMING,alarm_COMMUNICATION,alarm_SENSOR_CONTROL,alarm_ACTUATOR,injected,detected,false_alarm,latency_ms,integrity_latency_ms,control_effect,actuator_effect,plant_manifestation,propagation_plant_ms,propagation_control_ms,propagation_actuator_command_ms,silent_plant,wrong_localized_runtime_samples,miss_category,localized_correct,unknown_at_alarm,localized_wrong,localization_before_plant
current_0056,SENSOR_CONTROL,sensor_interface_intermittent,permanent,0.5,0,24700,18500,operating_family_0,development-train,current_profile_0056,static_target,1257,120000,0:0:6000,98e74119c547cd946ebdb249b1e2fb960eb66f71470a9c1f6569f045d9dfe711,46db0c337375be2a7a7b69940953eaf34c09aec6083b10393c4b2db4205e06c1,0,0,-1,-1,24800,24800,0.3798675537109375,32e1cc92a6569bb40f2afb3d5e63bc110e0bbdc35d776f043eab5e26b24718e9,c42e9716eb12c91e8482c4348f93b7a24baf1d574a03e34e95ee22aea3c75048,Weighted Sum,-1,-1,UNKNOWN,UNKNOWN,0.0,0.0,0.0,-1,UNKNOWN,1201,0,0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,,,1,1,1,25600,24700,24700,1,0,A,0,0,0,0
current_0060,COMMUNICATION,delayed_update,transient,100,0,25900,9700,operating_family_0,development-train,current_profile_0060,static_target,1261,120000,0:0:6000,27086286f8f5cd85c3d3b589c8fac10454b4112c8915da27f78dfeb8826583fd,7124dc4d000bf44ad17dd7c24034179964bef7a7f1aef3ecb39fafcc5ab54d65,0,0,-1,25900,-1,25900,0,d64b4003990ba2354378580e744ab9a665eaa31e29f940c1dd49fa3fa81b37d3,627da71e62de5d5ec17c869928f66f99db0804a0c1be229574afa54fd848e3c9,Weighted Sum,-1,-1,UNKNOWN,UNKNOWN,0.0,0.0,0.0,-1,UNKNOWN,1201,0,0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,,,1,1,0,,25900,25900,0,0,A,0,0,0,0
current_0064,COMMUNICATION,delayed_update,intermittent,200,0,24700,13700,operating_family_0,development-train,current_profile_0064,static_target,1265,120000,0:0:6000,fcaf549f7af9c1c95c85363bba2ddc931e2e904a45f8ba7523719500b9fcbf73,af4a87b5e3dfef73cbca6f7f8333dce6be0a63ba7f350bf3ab19ceaeef9578f6,0,0,-1,24700,-1,24700,0,785bb27ac623e52c2a836aa1344c828bdd6018fa550709eba3c423555f6181ee,de79f971a6ab3da5231527fda0216eb1cf09723c69fc1d9e3dee158ad22f36cc,Weighted Sum,-1,-1,UNKNOWN,UNKNOWN,0.0,0.0,0.0,-1,UNKNOWN,1201,0,0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,,,1,1,0,,24700,24700,0,0,A,0,0,0,0
current_0066,COMMUNICATION,delayed_update,permanent,100,0,25300,9700,operating_family_0,development-train,current_profile_0066,static_target,1267,120000,0:0:6000,02c461c79cb092eaff9c32aa491577ceb2834da3a4deb7e51974cfa40520740a,2a7686aec5df6b3f7999788d692ed87a98c867228f22ff23f3aaecd89db69aa3,0,0,-1,25300,-1,25300,0,6927cd2454103b05f8d6cf79a2d4a70373f6b1a5f2838742ec1ce8db5e19ff6b,a48ba56ba01d3b6aa169c910fa2740f07619ec2b23feeba5cd995c5e626d308f,Weighted Sum,-1,-1,UNKNOWN,UNKNOWN,0.0,0.0,0.0,-1,UNKNOWN,1201,0,0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,,,1,1,0,,25300,25300,0,0,A,0,0,0,0
current_0072,COMMUNICATION,dropped_update,intermittent,1,0,24700,9700,operating_family_0,development-train,current_profile_0072,static_target,1273,120000,0:0:6000,d50c4c0dc41896bb583e8b2520d49f9b5b0bf638b30694c76b20a62c3aea5486,7e6d0cb5e0844ef1d21914e827cdca694c9294d1cab7c126f543c081c7349efe,0,0,-1,24700,-1,24700,0,192526b059514101fafeb667d436db89c2fd83894a76b06534293c5c3a6cf14d,a247ce851ba877aeebe914adb0001b9306534c6a8d39795dafe85348220e6541,Weighted Sum,-1,-1,UNKNOWN,UNKNOWN,0.0,0.0,0.0,-1,UNKNOWN,1201,0,0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,,,1,1,0,,24700,24700,0,0,A,0,0,0,0
current_0078,COMMUNICATION,replayed_sample,transient,100,0,26500,9700,operating_family_0,development-train,current_profile_0078,static_target,1279,120000,0:0:6000,30b1bb2d1caf9fc3736fb835312f74f32a5cd3ee71063fbed7a9caa5d6c63860,c528735ea871db8f75f2c0e7610e1184f601370b7f5ea2a4cf2590d0936fba02,0,0,-1,26500,-1,26500,0,11a8ec65f50174491d67c1edd257e11f47dee65d50b7cc2ffad7535e35e9d5fe,735dc8309941354c32fb78cbd7f9b339c54f51450f3e5bedaf4d8b488248e696,Weighted Sum,-1,-1,UNKNOWN,UNKNOWN,0.0,0.0,0.0,-1,UNKNOWN,1201,0,0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,,,1,1,0,,26500,26500,0,0,A,0,0,0,0
current_0084,COMMUNICATION,replayed_sample,permanent,100,0,25900,9700,operating_family_0,development-train,current_profile_0084,static_target,1285,120000,0:0:6000,3120b41c75eb656b24f6549d53db3c1036c6971fd8e66572236c3bf576aa42b2,ab1c22e8627024aed91446ead6a26a17fc8b524792be75f7ad738d3a12dcde4e,0,0,-1,25900,-1,25900,0,6d23055789878ebc88ff5daf64e50323d2d42e4e381e590c19273be05b13f5d0,dc364f03ea0607c1f6d6ddc32c52c287013c996585b84139e3496e4444a59978,Weighted Sum,-1,-1,UNKNOWN,UNKNOWN,0.0,0.0,0.0,-1,UNKNOWN,1201,0,0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,,,1,1,0,,25900,25900,0,0,A,0,0,0,0
current_0088,ACTUATOR,pump_degraded,transient,0.69,0,24700,13700,operating_family_0,development-train,current_profile_0088,static_target,1289,120000,0:0:6000,bde2c4d7742830f7fba650b364790b7210b6f77754985d694c1f6429f78c1b99,e4ea3d2dc0dee6a544a942df7dd1190b8e14ef6a5367d5572c8531d46e4ddc01,0,0,-1,-1,-1,24700,0,733e59ed39fa2230ac969d41c493b6fe1d698a57b77e380800599908370e66eb,72c21b88a9ec813ad1be328a2c493a9e5b9237a8a44e57f0334f9aaf82774456,Weighted Sum,-1,-1,UNKNOWN,UNKNOWN,0.0,0.0,0.0,-1,UNKNOWN,1201,0,0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,,,1,1,1,24900,24800,24800,1,0,A,0,0,0,0
current_0090,ACTUATOR,pump_degraded,intermittent,0.69,0,25300,9700,operating_family_0,development-train,current_profile_0090,static_target,1291,120000,0:0:6000,47472cd03ce130384f2f558972434829c268c89bf2b6b44bedc1384ade35c0b7,e983bf242cbb184fea04d77b91ac2bc98d0435a1f695e04c61f58fe4b507ff9d,0,0,-1,-1,-1,25300,0,807e2c0431ea544a8b239f91413a4f43e012493343200acbe311f24b506896e0,5306c502acdb606a9f2dfc30a0c00155e73220347d5ef8628de7671c914becc4,Weighted Sum,-1,-1,UNKNOWN,UNKNOWN,0.0,0.0,0.0,-1,UNKNOWN,1201,0,0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,,,1,1,1,25500,25400,25400,1,0,A,0,0,0,0
current_0092,ACTUATOR,pump_degraded,permanent,0.69,0,25900,18500,operating_family_0,development-train,current_profile_0092,static_target,1293,120000,0:0:6000,35094cc723d31dca52f60ecadf3fd38eaa790568536c5a5ed666251eaeab883c,3573e17b8fd535df6b12549ee8c9895679a321e55d0560761c148b7986e77894,0,0,-1,-1,-1,25900,0,9ba8ae37ab2dee1df4165f933033c1ce7cf65308d09e1d161b697476598d677b,76fdb8ce6f344100cf0446a57ceb8fae259af8fdba082495c4978db631069d4c,Weighted Sum,-1,-1,UNKNOWN,UNKNOWN,0.0,0.0,0.0,-1,UNKNOWN,1201,0,0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,,,1,1,1,26100,26000,26000,1,0,A,0,0,0,0
