run_id,origin,model,behavior,magnitude,stuck_polarity,start_ms,duration_ms,group,partition,profile,profile_json,target_updates_json,workload,seed,simulation_duration_ms,profile_semantic_sha256,configuration_sha256,initially_latent_stuck,old_detected,plant_ms,active_positive_samples,positive_after_onset_during_active,all_positive_samples,positive_samples_json,max_acquisition_consumption_difference_c,signed_decay_accumulator_peak,interpretation
current_0504,SENSOR_CONTROL,sensor_bias,transient,-1.2,0,25900,9700,operating_family_4,development-validation,current_profile_0504,"[{""ambient_temp_c"": 26.108, ""end_ms"": 18100, ""engine_load"": 0.35612279999999996, ""external_airflow_factor"": 0, ""road_slope_percent"": 0, ""start_ms"": 0, ""vehicle_speed_kph"": 40.019999999999996}, {""ambient_temp_c"": 26.108, ""end_ms"": 49300, ""engine_load"": 0.51612, ""external_airflow_factor"": 0, ""road_slope_percent"": 0, ""start_ms"": 18100, ""vehicle_speed_kph"": 58}, {""ambient_temp_c"": 26.108, ""end_ms"": 87100, ""engine_load"": 0.42837959999999997, ""external_airflow_factor"": 0, ""road_slope_percent"": 0, ""start_ms"": 49300, ""vehicle_speed_kph"": 48.14}, {""ambient_temp_c"": 26.108, ""end_ms"": 120000, ""engine_load"": 0.49031399999999997, ""external_airflow_factor"": 0, ""road_slope_percent"": 0, ""start_ms"": 87100, ""vehicle_speed_kph"": 55.099999999999994}]",[],static_target,901,120000,a99b5993ddcb27d4702ba413ab336b8669341d3b6a925d4589acf688d83885d1,d2d732283f97b30b6ac77415747a77baafba2131fb21ad42c98175925df1df53,0,0,26000,1,0,2,"[[25900, 0.47116851806640625, -1], [35600, 0.4761085510253906, 1]]",0.0,0.4761085508379322,Isolated onset/recovery slew impulse; constant offset cancels from successive differences; no persistent discrepancy
current_0505,SENSOR_CONTROL,sensor_bias,transient,1.2,0,26200,13700,operating_family_4,development-validation,current_profile_0505,"[{""ambient_temp_c"": 26.111, ""end_ms"": 18100, ""engine_load"": 0.3562401, ""external_airflow_factor"": 0, ""road_slope_percent"": 0, ""start_ms"": 0, ""vehicle_speed_kph"": 40.019999999999996}, {""ambient_temp_c"": 26.111, ""end_ms"": 49300, ""engine_load"": 0.51629, ""external_airflow_factor"": 0, ""road_slope_percent"": 0, ""start_ms"": 18100, ""vehicle_speed_kph"": 58}, {""ambient_temp_c"": 26.111, ""end_ms"": 87100, ""engine_load"": 0.4285207, ""external_airflow_factor"": 0, ""road_slope_percent"": 0, ""start_ms"": 49300, ""vehicle_speed_kph"": 48.14}, {""ambient_temp_c"": 26.111, ""end_ms"": 120000, ""engine_load"": 0.4904755, ""external_airflow_factor"": 0, ""road_slope_percent"": 0, ""start_ms"": 87100, ""vehicle_speed_kph"": 55.099999999999994}]","[[30000, 99], [60000, 92]]",authorized_updates,902,120000,55e6baf82469137af9b9e55207ed40fc7c6879bdad5cbf4436988bfda024fef0,484bad8c7ab40351108181207e31d5fec757f82e77b285b921c694d53475201c,0,0,26300,1,0,2,"[[26200, 0.4785346984863281, 1], [39900, 0.4705924987792969, -1]]",0.0,0.4785346984863281,Isolated onset/recovery slew impulse; constant offset cancels from successive differences; no persistent discrepancy
current_0512,SENSOR_CONTROL,sensor_bias,permanent,-1.2,0,25900,18500,operating_family_4,development-validation,current_profile_0512,"[{""ambient_temp_c"": 26.132, ""end_ms"": 18100, ""engine_load"": 0.3570612, ""external_airflow_factor"": 0, ""road_slope_percent"": 0, ""start_ms"": 0, ""vehicle_speed_kph"": 40.019999999999996}, {""ambient_temp_c"": 26.132, ""end_ms"": 49300, ""engine_load"": 0.51748, ""external_airflow_factor"": 0, ""road_slope_percent"": 0, ""start_ms"": 18100, ""vehicle_speed_kph"": 58}, {""ambient_temp_c"": 26.132, ""end_ms"": 87100, ""engine_load"": 0.4295084, ""external_airflow_factor"": 0, ""road_slope_percent"": 0, ""start_ms"": 49300, ""vehicle_speed_kph"": 48.14}, {""ambient_temp_c"": 26.132, ""end_ms"": 120000, ""engine_load"": 0.49160600000000004, ""external_airflow_factor"": 0, ""road_slope_percent"": 0, ""start_ms"": 87100, ""vehicle_speed_kph"": 55.099999999999994}]",[],static_target,909,120000,8b0ed18ed6aa353293ecaaf40300a75eea793b8e55315911dc3f43808c55c6d4,8b63ff0b5dcac628534dd522bbe3e99628ee41fcb23f702a37b15b3c90169dee,0,0,26000,1,0,2,"[[25900, 0.4711494445800781, -1], [44400, 0.4751014709472656, 1]]",0.0,0.4751014709472656,Isolated onset/recovery slew impulse; constant offset cancels from successive differences; no persistent discrepancy
current_0513,SENSOR_CONTROL,sensor_bias,permanent,1.2,0,26200,9700,operating_family_4,development-validation,current_profile_0513,"[{""ambient_temp_c"": 26.135, ""end_ms"": 18100, ""engine_load"": 0.3571785, ""external_airflow_factor"": 0, ""road_slope_percent"": 0, ""start_ms"": 0, ""vehicle_speed_kph"": 40.019999999999996}, {""ambient_temp_c"": 26.135, ""end_ms"": 49300, ""engine_load"": 0.51765, ""external_airflow_factor"": 0, ""road_slope_percent"": 0, ""start_ms"": 18100, ""vehicle_speed_kph"": 58}, {""ambient_temp_c"": 26.135, ""end_ms"": 87100, ""engine_load"": 0.4296495, ""external_airflow_factor"": 0, ""road_slope_percent"": 0, ""start_ms"": 49300, ""vehicle_speed_kph"": 48.14}, {""ambient_temp_c"": 26.135, ""end_ms"": 120000, ""engine_load"": 0.4917675, ""external_airflow_factor"": 0, ""road_slope_percent"": 0, ""start_ms"": 87100, ""vehicle_speed_kph"": 55.099999999999994}]","[[30000, 99], [60000, 92]]",authorized_updates,910,120000,18d021ee7309fb319248619be0f593a2bbf63ec44ab2f706136f97b6ab8a09d0,5dfed8526d6784422f01f80871460107aa1a6251f207ae08da4d63220358030f,0,0,26300,1,0,2,"[[26200, 0.4785499572753906, 1], [35900, 0.4619598388671875, -1]]",0.0,0.4785499572753906,Isolated onset/recovery slew impulse; constant offset cancels from successive differences; no persistent discrepancy
current_0621,SENSOR_CONTROL,sensor_bias,transient,-1.2,0,25900,9700,operating_family_5,development-validation,current_profile_0621,"[{""ambient_temp_c"": 41.108, ""end_ms"": 18100, ""engine_load"": 0.6597227999999999, ""external_airflow_factor"": 0, ""road_slope_percent"": 0, ""start_ms"": 0, ""vehicle_speed_kph"": 8.28}, {""ambient_temp_c"": 41.108, ""end_ms"": 49300, ""engine_load"": 0.95612, ""external_airflow_factor"": 0, ""road_slope_percent"": 0, ""start_ms"": 18100, ""vehicle_speed_kph"": 12}, {""ambient_temp_c"": 41.108, ""end_ms"": 87100, ""engine_load"": 0.7935795999999999, ""external_airflow_factor"": 0, ""road_slope_percent"": 0, ""start_ms"": 49300, ""vehicle_speed_kph"": 9.959999999999999}, {""ambient_temp_c"": 41.108, ""end_ms"": 120000, ""engine_load"": 0.908314, ""external_airflow_factor"": 0, ""road_slope_percent"": 0, ""start_ms"": 87100, ""vehicle_speed_kph"": 11.399999999999999}]","[[30000, 99], [60000, 92]]",authorized_updates,942,120000,0b3448ac2be3933fd532bff9b4992168d8debe0f650c6bbd2d1a31566675baa7,88d032eb07c6393974090eba61a46f0b5398b01ba9ab325bc1a2193a8fcfe730,0,0,26000,10,9,19,"[[25900, 0.4744911193847656, -1], [30100, 0.032260894775390625, 1], [30200, 0.02805328369140625, 1], [30300, 0.023960113525390625, 1], [30400, 0.0199737548828125, 1], [30500, 0.0160980224609375, 1], [30600, 0.01232147216796875, 1], [30700, 0.008647918701171875, 1], [30800, 0.00507354736328125, 1], [30900, 0.00159454345703125, 1], [35600, 0.48027801513671875, 1], [60100, 0.07715988159179688, -1], [60200, 0.06386947631835938, -1], [60300, 0.05145263671875, -1], [60400, 0.03984832763671875, -1], [60500, 0.029010772705078125, -1], [60600, 0.01888275146484375, -1], [60700, 0.00942230224609375, -1], [60800, 0.00058746337890625, -1]]",0.0,0.48027935890438456,Isolated onset/recovery slew impulse; constant offset cancels from successive differences; no persistent discrepancy
current_0622,SENSOR_CONTROL,sensor_bias,transient,1.2,0,26200,13700,operating_family_5,development-validation,current_profile_0622,"[{""ambient_temp_c"": 41.111, ""end_ms"": 18100, ""engine_load"": 0.6598400999999999, ""external_airflow_factor"": 0, ""road_slope_percent"": 0, ""start_ms"": 0, ""vehicle_speed_kph"": 8.28}, {""ambient_temp_c"": 41.111, ""end_ms"": 49300, ""engine_load"": 0.95629, ""external_airflow_factor"": 0, ""road_slope_percent"": 0, ""start_ms"": 18100, ""vehicle_speed_kph"": 12}, {""ambient_temp_c"": 41.111, ""end_ms"": 87100, ""engine_load"": 0.7937207, ""external_airflow_factor"": 0, ""road_slope_percent"": 0, ""start_ms"": 49300, ""vehicle_speed_kph"": 9.959999999999999}, {""ambient_temp_c"": 41.111, ""end_ms"": 120000, ""engine_load"": 0.9084754999999999, ""external_airflow_factor"": 0, ""road_slope_percent"": 0, ""start_ms"": 87100, ""vehicle_speed_kph"": 11.399999999999999}]",[],static_target,943,120000,fbfbb8f6f6159515b329771c36e5323fe3a7b02cd713af9285425926296b033c,b76380a145acf95f32ce16b52cea1a85786a31d3bbacef41feaedd74bb69c1d7,0,0,26300,1,0,2,"[[26200, 0.47541046142578125, 1], [39900, 0.4750022888183594, -1]]",0.0,0.47541046142578125,Isolated onset/recovery slew impulse; constant offset cancels from successive differences; no persistent discrepancy
current_0629,SENSOR_CONTROL,sensor_bias,permanent,-1.2,0,25900,18500,operating_family_5,development-validation,current_profile_0629,"[{""ambient_temp_c"": 41.132, ""end_ms"": 18100, ""engine_load"": 0.6606612, ""external_airflow_factor"": 0, ""road_slope_percent"": 0, ""start_ms"": 0, ""vehicle_speed_kph"": 8.28}, {""ambient_temp_c"": 41.132, ""end_ms"": 49300, ""engine_load"": 0.95748, ""external_airflow_factor"": 0, ""road_slope_percent"": 0, ""start_ms"": 18100, ""vehicle_speed_kph"": 12}, {""ambient_temp_c"": 41.132, ""end_ms"": 87100, ""engine_load"": 0.7947084, ""external_airflow_factor"": 0, ""road_slope_percent"": 0, ""start_ms"": 49300, ""vehicle_speed_kph"": 9.959999999999999}, {""ambient_temp_c"": 41.132, ""end_ms"": 120000, ""engine_load"": 0.9096059999999999, ""external_airflow_factor"": 0, ""road_slope_percent"": 0, ""start_ms"": 87100, ""vehicle_speed_kph"": 11.399999999999999}]","[[30000, 99], [60000, 92]]",authorized_updates,950,120000,49feeada629c799579e625512f46159d559966b3f8fbc2d642e86e5e441db905,84f0d2f2ee9bc76e9871aad3e1f12ab21ca67ceef0a58d6f8c20a4dd7c9a49f4,0,0,26000,10,9,19,"[[25900, 0.4744911193847656, -1], [30100, 0.0325927734375, 1], [30200, 0.028377532958984375, 1], [30300, 0.0242767333984375, 1], [30400, 0.020282745361328125, 1], [30500, 0.01639556884765625, 1], [30600, 0.012615203857421875, 1], [30700, 0.00893402099609375, 1], [30800, 0.005352020263671875, 1], [30900, 0.001861572265625, 1], [44400, 0.4750099182128906, 1], [60100, 0.07715988159179688, -1], [60200, 0.06386947631835938, -1], [60300, 0.05145263671875, -1], [60400, 0.03984832763671875, -1], [60500, 0.029010772705078125, -1], [60600, 0.018886566162109375, -1], [60700, 0.009426116943359375, -1], [60800, 0.00058746337890625, -1]]",0.0,0.47500991821289473,Isolated onset/recovery slew impulse; constant offset cancels from successive differences; no persistent discrepancy
current_0630,SENSOR_CONTROL,sensor_bias,permanent,1.2,0,26200,9700,operating_family_5,development-validation,current_profile_0630,"[{""ambient_temp_c"": 41.135, ""end_ms"": 18100, ""engine_load"": 0.6607784999999999, ""external_airflow_factor"": 0, ""road_slope_percent"": 0, ""start_ms"": 0, ""vehicle_speed_kph"": 8.28}, {""ambient_temp_c"": 41.135, ""end_ms"": 49300, ""engine_load"": 0.95765, ""external_airflow_factor"": 0, ""road_slope_percent"": 0, ""start_ms"": 18100, ""vehicle_speed_kph"": 12}, {""ambient_temp_c"": 41.135, ""end_ms"": 87100, ""engine_load"": 0.7948495, ""external_airflow_factor"": 0, ""road_slope_percent"": 0, ""start_ms"": 49300, ""vehicle_speed_kph"": 9.959999999999999}, {""ambient_temp_c"": 41.135, ""end_ms"": 120000, ""engine_load"": 0.9097675, ""external_airflow_factor"": 0, ""road_slope_percent"": 0, ""start_ms"": 87100, ""vehicle_speed_kph"": 11.399999999999999}]",[],static_target,951,120000,a235a5707856fff60513912b90ab231f982b8530164d0932519bba7a83abc8aa,4549982bc0c1257b07ab2e8a0158954f6378d2e3be06d6e2fd92ec2d3df8f336,0,0,26300,1,0,2,"[[26200, 0.47541046142578125, 1], [35900, 0.4750480651855469, -1]]",0.0,0.47541046142578125,Isolated onset/recovery slew impulse; constant offset cancels from successive differences; no persistent discrepancy
