partition,method,group,runs,faulty_runs,benign_runs,detected,coverage,macro_coverage,silent_plant,benign_false_alarms,benign_false_alarm_rate,precision,recall,latency_median_ms,latency_p95_ms,localized,localization_coverage,correct_localizations,wrong_localizations,localization_accuracy,macro_localization_accuracy,accuracy_when_localized,wrong_localization_rate,unknown,unknown_rate,localized_before_plant,preinjection_alarm_runs,propagation_supported_runs,control_effect_runs,coverage_given_control_effect,actuator_effect_runs,coverage_given_actuator_effect,plant_manifestation_runs,coverage_given_plant_manifestation,pre_plant_alarms,same_plant_alarms,post_plant_alarms,mean_anomaly_ignorance,mean_origin_ignorance,mean_detection_conflict,mean_localization_conflict,high_detection_conflict_runs,high_localization_conflict_runs
development-train,Anchor unavailable,weak_steps,36,36,0,5,0.1388888888888889,0.1388888888888889,31,0,,1.0,0.1388888888888889,300.0,300.0,5,1.0,5,0,1.0,1.0,1.0,0.0,0,0.0,0,0,0,36,0.1388888888888889,36,0.1388888888888889,36,0.1388888888888889,0,0,5,0.9945021488386111,0.9945021488386111,0.0,0.0,0,0
development-train,Anchor unavailable,pulses,36,36,0,33,0.9166666666666666,0.9166666666666666,1,0,,1.0,0.9166666666666666,100.0,1139.9999999999998,33,1.0,33,0,1.0,1.0,1.0,0.0,0,0.0,12,0,0,36,0.9166666666666666,36,0.9166666666666666,34,0.9705882352941176,12,7,14,0.7906036379084722,0.7906036379084722,0.0,0.0,0,0
development-train,Anchor unavailable,slow_drift,48,48,0,0,0.0,0.0,48,0,,,0.0,,,0,,0,0,,,,,0,,0,0,0,48,0.0,48,0.0,48,0.0,0,0,0,0.9995624773309375,0.9995624773309375,0.0,0.0,0,0
development-train,Anchor unavailable,positive,78,78,0,35,0.44871794871794873,0.44871794871794873,41,0,,1.0,0.44871794871794873,100.0,1129.9999999999998,35,1.0,35,0,1.0,1.0,1.0,0.0,0,0.0,12,0,0,78,0.44871794871794873,78,0.44871794871794873,76,0.4605263157894737,12,7,16,0.9019813396315385,0.9019813396315385,0.0,0.0,0,0
development-train,Anchor unavailable,negative,42,42,0,3,0.07142857142857142,0.07142857142857142,39,0,,1.0,0.07142857142857142,300.0,300.0,3,1.0,3,0,1.0,1.0,1.0,0.0,0,0.0,0,0,0,42,0.07142857142857142,42,0.07142857142857142,42,0.07142857142857142,0,0,3,0.9973395891314286,0.9973395891314286,0.0,0.0,0,0
development-train,Anchor unavailable,low_magnitude,54,54,0,20,0.37037037037037035,0.37037037037037035,32,0,,1.0,0.37037037037037035,800.0,1200.0,20,1.0,20,0,1.0,1.0,1.0,0.0,0,0.0,0,0,0,54,0.37037037037037035,54,0.37037037037037035,52,0.38461538461538464,0,1,19,0.9496988050627222,0.9496988050627222,0.0,0.0,0,0
development-train,Anchor unavailable,medium_magnitude,66,66,0,18,0.2727272727272727,0.2727272727272727,48,0,,1.0,0.2727272727272727,100.0,100.0,18,1.0,18,0,1.0,1.0,1.0,0.0,0,0.0,12,0,0,66,0.2727272727272727,66,0.2727272727272727,66,0.2727272727272727,12,6,0,0.9236222994150455,0.9236222994150455,0.0,0.0,0,0
development-train,Revised CLO-DSF,weak_steps,36,36,0,5,0.1388888888888889,0.1388888888888889,31,0,,1.0,0.1388888888888889,300.0,300.0,5,1.0,5,0,1.0,1.0,1.0,0.0,0,0.0,0,0,0,36,0.1388888888888889,36,0.1388888888888889,36,0.1388888888888889,0,0,5,0.9945021488386111,0.9945021488386111,0.0,0.0,0,0
development-train,Revised CLO-DSF,pulses,36,36,0,33,0.9166666666666666,0.9166666666666666,1,0,,1.0,0.9166666666666666,100.0,1139.9999999999998,33,1.0,33,0,1.0,1.0,1.0,0.0,0,0.0,12,0,0,36,0.9166666666666666,36,0.9166666666666666,34,0.9705882352941176,12,7,14,0.7906036379084722,0.7906036379084722,0.0,0.0,0,0
development-train,Revised CLO-DSF,slow_drift,48,48,0,0,0.0,0.0,48,0,,,0.0,,,0,,0,0,,,,,0,,0,0,0,48,0.0,48,0.0,48,0.0,0,0,0,0.9995624773309375,0.9995624773309375,0.0,0.0,0,0
development-train,Revised CLO-DSF,positive,78,78,0,35,0.44871794871794873,0.44871794871794873,41,0,,1.0,0.44871794871794873,100.0,1129.9999999999998,35,1.0,35,0,1.0,1.0,1.0,0.0,0,0.0,12,0,0,78,0.44871794871794873,78,0.44871794871794873,76,0.4605263157894737,12,7,16,0.9019813396315385,0.9019813396315385,0.0,0.0,0,0
development-train,Revised CLO-DSF,negative,42,42,0,3,0.07142857142857142,0.07142857142857142,39,0,,1.0,0.07142857142857142,300.0,300.0,3,1.0,3,0,1.0,1.0,1.0,0.0,0,0.0,0,0,0,42,0.07142857142857142,42,0.07142857142857142,42,0.07142857142857142,0,0,3,0.9973395891314286,0.9973395891314286,0.0,0.0,0,0
development-train,Revised CLO-DSF,low_magnitude,54,54,0,20,0.37037037037037035,0.37037037037037035,32,0,,1.0,0.37037037037037035,800.0,1200.0,20,1.0,20,0,1.0,1.0,1.0,0.0,0,0.0,0,0,0,54,0.37037037037037035,54,0.37037037037037035,52,0.38461538461538464,0,1,19,0.9496988050627222,0.9496988050627222,0.0,0.0,0,0
development-train,Revised CLO-DSF,medium_magnitude,66,66,0,18,0.2727272727272727,0.2727272727272727,48,0,,1.0,0.2727272727272727,100.0,100.0,18,1.0,18,0,1.0,1.0,1.0,0.0,0,0.0,12,0,0,66,0.2727272727272727,66,0.2727272727272727,66,0.2727272727272727,12,6,0,0.9236222994150455,0.9236222994150455,0.0,0.0,0,0
development-train,Weighted Sum,weak_steps,36,36,0,18,0.5,0.5,18,0,,1.0,0.5,9350.0,10330.0,0,0.0,0,0,0.0,0.0,,0.0,18,1.0,0,0,0,36,0.5,36,0.5,36,0.5,0,0,18,1.0,1.0,0.0,0.0,0,0
development-train,Weighted Sum,pulses,36,36,0,28,0.7777777777777778,0.7777777777777778,6,0,,1.0,0.7777777777777778,200.0,8030.0,0,0.0,0,0,0.0,0.0,,0.0,28,1.0,0,0,0,36,0.7777777777777778,36,0.7777777777777778,34,0.8235294117647058,12,0,16,1.0,1.0,0.0,0.0,0,0
development-train,Weighted Sum,slow_drift,48,48,0,24,0.5,0.5,24,0,,1.0,0.5,8550.0,11085.0,0,0.0,0,0,0.0,0.0,,0.0,24,1.0,0,0,0,48,0.5,48,0.5,48,0.5,0,0,24,1.0,1.0,0.0,0.0,0,0
development-train,Weighted Sum,positive,78,78,0,49,0.6282051282051282,0.6282051282051282,27,0,,1.0,0.6282051282051282,7800.0,11060.0,0,0.0,0,0,0.0,0.0,,0.0,49,1.0,0,0,0,78,0.6282051282051282,78,0.6282051282051282,76,0.6447368421052632,12,0,37,1.0,1.0,0.0,0.0,0,0
development-train,Weighted Sum,negative,42,42,0,21,0.5,0.5,21,0,,1.0,0.5,9100.0,10300.0,0,0.0,0,0,0.0,0.0,,0.0,21,1.0,0,0,0,42,0.5,42,0.5,42,0.5,0,0,21,1.0,1.0,0.0,0.0,0,0
